id,lwage,educ,quarter1,age,parent_educ
738,2.4724,12.7,1,41.6,10
739,2.4893,13.9,0,39.1,15
740,2.9405,13.7,0,36.7,13
741,2.9598,12.9,0,38.9,13
742,2.4012,13.8,1,31.6,14
743,3.8095,14.7,1,31.6,12
744,2.9173,14.6,1,31.0,15
745,3.1135,13.7,0,41.9,10
746,1.9045,12.3,0,32.4,11
747,3.4481,13.7,0,39.9,11
748,2.1597,12.8,0,25.4,9
749,2.7907,12.8,0,50.3,14
750,2.5607,12.1,1,48.1,13
751,3.0782,15.0,0,27.4,14
752,3.3283,14.0,0,41.5,12
753,2.6719,11.7,0,38.3,12
754,2.9049,15.1,0,35.0,12
755,2.9868,11.6,0,40.6,11
756,3.2546,14.1,1,36.1,14
757,2.6217,15.1,0,35.0,10
758,2.7469,14.0,1,30.5,11
759,3.2178,15.4,0,44.0,10
760,2.5109,12.7,0,41.3,11
761,2.6275,12.7,0,24.7,15
762,2.8869,13.5,1,36.5,14
763,2.8325,14.0,0,47.0,13
764,3.1039,11.2,1,36.7,15
765,2.5706,12.3,0,34.0,10
766,2.1101,12.0,0,22.7,15
767,2.1905,12.0,1,43.3,14
768,3.3477,15.5,0,35.9,10
769,3.0097,13.6,1,34.2,13
770,3.1268,14.3,0,30.1,15
771,3.1376,15.4,0,39.3,6
772,2.3786,10.1,1,31.5,14
773,3.0256,12.2,0,38.4,14
774,2.6761,13.3,0,30.3,14
775,3.1955,14.3,0,34.7,14
776,3.0859,12.9,0,45.9,11
777,2.88,13.5,0,42.8,9
778,2.1592,12.8,0,40.1,10
779,3.2519,15.4,0,43.4,10
780,2.7058,12.5,1,42.0,15
781,2.2941,13.2,1,34.4,11
782,2.5019,15.5,0,25.1,14
783,2.8193,13.3,0,41.6,9
784,2.4583,13.6,1,38.6,13
785,2.8534,13.8,0,34.4,16
786,2.1287,11.7,1,27.7,13
787,2.8494,13.4,0,48.7,11
788,3.3772,12.8,1,40.6,10
789,3.3586,12.9,1,45.1,14
790,2.7667,12.4,0,47.6,14
791,3.265,14.7,0,42.9,18
792,3.3879,14.3,0,56.9,11
793,2.6578,14.2,1,22.0,12
794,2.9764,15.3,1,29.4,15
795,2.6629,14.5,0,22.4,12
796,2.8388,14.8,0,43.0,13
797,2.7809,12.8,1,40.0,11
798,2.8785,13.0,0,32.5,8
799,2.2944,11.5,0,36.6,11
800,2.3951,13.2,0,44.2,15
801,2.6838,12.0,0,29.2,9
802,3.722,13.8,1,45.2,17
803,3.0033,14.3,0,41.1,7
804,2.2499,12.7,0,26.6,9
805,2.2998,12.8,0,47.6,10
806,2.6499,13.8,0,35.4,16
807,2.4609,12.3,1,22.0,15
808,2.7669,13.5,1,40.7,13
809,2.8434,13.0,0,44.2,16
810,2.1658,13.0,0,24.0,13
811,2.8365,14.8,0,28.0,13
812,3.1291,13.6,1,29.5,10
813,2.9038,14.0,0,22.0,11
814,2.6861,12.8,0,27.0,11
815,2.55,14.1,0,51.1,16
816,3.0424,13.1,0,35.3,12
817,3.0473,13.0,0,42.4,13
818,3.339,16.1,0,22.0,14
819,2.6871,14.7,0,36.1,11
820,2.7813,12.3,0,41.8,10
821,2.8146,12.4,0,34.2,13
822,2.4286,13.1,0,28.6,13
823,1.8722,11.6,0,23.2,9
824,2.2741,11.4,0,54.7,17
825,2.7691,15.9,0,22.0,14
826,3.0891,13.8,0,39.5,16
827,2.0466,10.3,1,41.0,13
828,2.4039,12.2,0,38.6,14
829,3.2578,14.9,0,30.2,14
830,2.7413,14.2,0,28.3,9
831,2.5404,13.6,0,53.6,11
832,2.8529,15.6,0,37.2,13
833,3.3839,15.4,0,39.5,10
834,2.7483,15.8,0,24.0,13
835,3.3639,15.4,0,36.1,12
836,3.2221,13.8,1,44.1,13
837,2.6312,12.6,1,46.8,12
838,2.6222,14.7,0,37.1,12
839,3.2145,14.8,1,46.5,10
840,2.6279,12.6,0,34.9,7
841,2.9861,14.1,0,39.2,13
842,2.4033,12.1,1,41.3,13
843,2.9783,16.6,1,26.9,14
844,2.9911,16.0,0,43.5,12
845,2.9852,15.1,0,22.0,12
846,2.6256,15.5,0,32.5,14
847,2.199,13.1,0,28.2,12
848,3.0958,12.3,1,45.1,13
849,2.1202,12.1,0,37.2,11
850,3.4175,14.7,0,44.2,14
851,2.5077,14.9,0,29.7,11
852,2.7461,13.3,0,51.4,14
853,2.358,13.3,0,33.5,16
854,3.0497,13.9,0,31.2,12
855,2.6845,14.3,0,35.0,14
856,2.3232,13.0,0,25.7,9
857,2.192,12.8,0,22.0,13
858,2.4889,14.0,0,36.4,12
859,3.05,14.6,0,22.0,8
860,2.9007,15.2,0,41.8,9
861,2.4326,12.4,1,27.2,13
862,2.3389,14.3,0,48.3,12
863,2.9272,14.3,0,33.0,8
864,2.8579,14.2,0,35.6,16
865,2.5389,13.5,1,40.4,14
866,2.8474,11.7,0,37.3,14
867,2.8702,14.5,0,48.5,10
868,2.427,12.1,0,30.8,13
869,3.154,14.3,0,31.1,10
870,2.8487,14.5,0,36.0,8
871,2.5349,15.2,0,38.6,11
872,2.4152,12.9,0,32.0,15
873,2.3415,12.0,1,30.6,12
874,3.3291,16.3,0,41.6,13
875,2.4423,11.7,1,38.7,13
876,2.5792,13.4,0,31.4,13
877,2.7547,12.2,0,32.5,11
878,3.0768,15.8,0,30.8,12
879,2.5473,12.2,0,43.4,9
880,2.1771,12.6,1,31.0,15
881,2.3849,12.6,0,22.0,9
882,3.4662,16.0,0,32.7,10
883,2.4621,11.9,0,31.4,12
884,3.0187,13.8,0,32.0,9
885,1.9717,11.0,0,48.9,14
886,2.7767,12.9,1,33.5,12
887,2.0601,13.0,1,37.6,15
888,3.0162,12.2,1,30.3,12
889,2.782,13.5,0,48.2,17
890,2.4651,13.3,0,25.1,12
891,2.9608,12.3,1,40.0,9
892,2.4379,10.9,1,36.3,14
893,2.9722,13.4,0,25.7,9
894,2.9929,13.9,0,41.6,14
895,2.5047,11.2,0,29.9,14
896,2.9513,16.3,0,32.2,13
897,2.4018,12.3,0,32.1,9
898,2.4716,14.3,0,31.8,10
899,1.7461,11.9,0,28.7,10
900,2.6234,13.6,0,29.0,13
901,3.2524,15.8,0,30.8,11
902,2.7759,13.0,0,37.3,13
903,3.1292,14.6,0,42.0,13
904,2.0124,12.6,1,22.0,8
905,2.1951,11.6,1,30.0,9
906,2.6073,13.8,0,40.1,12
907,2.6163,14.3,0,45.3,15
908,2.5271,14.2,0,28.4,12
909,2.3553,13.4,0,31.4,12
910,2.4351,10.3,0,42.2,11
911,2.8808,13.8,1,36.8,8
912,3.562,16.3,0,29.1,12
913,3.1729,14.8,0,48.3,12
914,2.1913,11.5,0,40.3,11
915,2.2365,12.4,0,22.0,15
916,3.0491,13.4,0,43.5,12
917,2.9722,13.3,1,35.7,16
918,2.6688,15.1,1,24.4,11
919,2.3515,14.5,0,32.3,13
920,2.4657,12.7,0,29.7,14
921,2.4811,11.9,1,44.6,11
922,2.7306,14.0,1,41.0,13
923,2.7272,14.4,0,31.7,13
924,2.6417,12.8,1,29.3,9
925,2.4755,12.9,1,30.4,11
926,1.976,10.4,1,36.3,10
927,3.0784,13.4,1,38.3,9
928,2.6409,12.3,0,26.7,13
929,3.0496,13.1,0,37.1,11
930,2.8462,12.1,0,29.6,13
931,2.7291,13.1,0,30.9,14
932,2.5391,13.7,0,33.8,6
933,2.7958,11.6,0,39.6,8
934,2.5617,11.7,1,43.5,10
935,2.8683,13.4,0,28.1,13
936,2.7128,14.4,1,30.7,12
937,2.6893,11.7,0,39.5,10
938,2.6254,11.6,1,45.1,12
939,3.1635,14.0,0,52.0,12
940,2.0478,11.6,1,44.7,10
941,2.6684,14.0,0,45.2,16
942,2.7312,14.7,0,29.1,12
943,3.1628,15.2,0,33.3,10
944,2.3309,11.2,0,32.6,10
945,2.5939,14.1,0,27.2,13
946,2.7278,13.3,1,29.4,13
947,2.5488,11.9,1,51.9,13
948,2.1357,11.4,0,31.2,12
949,2.5131,13.2,1,24.4,12
950,2.7836,14.7,0,30.9,12
951,3.3923,15.3,0,38.2,13
952,1.8945,11.5,1,25.8,7
953,3.7096,14.5,0,36.0,12
954,2.7666,14.9,0,25.9,13
955,3.0374,14.4,0,39.6,12
956,2.4772,13.6,0,33.2,12
957,1.7576,11.9,1,26.1,10
958,2.3537,12.9,1,39.8,15
959,2.6603,12.3,0,43.0,12
960,2.6748,14.9,0,40.7,17
961,3.1959,14.1,1,22.2,13
962,2.6971,13.5,0,29.6,15
963,2.8862,13.3,0,35.8,9
964,2.8989,12.9,0,29.7,13
965,2.5524,15.8,1,27.7,15
966,2.2398,13.3,0,24.6,8
967,2.7496,12.0,0,44.7,12
968,2.8307,13.0,1,23.4,11
969,3.2382,14.2,0,38.6,16
970,3.0649,14.6,0,41.5,11
971,3.1552,14.8,0,42.2,12
972,2.6978,14.2,0,29.0,13
973,2.471,11.6,0,22.0,13
974,2.7615,15.0,0,28.7,15
975,3.175,14.5,0,41.8,15
976,2.816,13.1,0,28.7,8
977,2.3526,13.1,0,26.1,11
978,2.8452,13.2,0,46.0,12
979,3.3102,14.0,0,42.8,11
980,3.0444,12.1,0,55.9,11
981,1.8105,12.4,0,29.3,14
982,2.4276,14.1,1,23.5,15
983,3.0299,12.5,0,31.5,10
984,3.4395,16.3,1,45.8,15
985,3.136,13.6,0,44.2,12
986,2.2619,12.0,0,29.0,11
987,2.6725,14.2,0,22.0,11
988,2.6902,14.1,0,28.4,13
989,3.047,15.8,1,47.4,15
990,2.7895,12.1,0,31.7,11
991,2.655,13.5,0,32.4,16
992,2.775,13.3,0,22.0,12
993,3.2034,14.0,0,29.4,11
994,2.6974,11.7,0,41.2,11
995,3.9414,15.7,0,36.3,14
996,2.6436,13.1,0,33.5,14
997,3.0507,12.6,0,43.8,16
998,2.3968,14.9,0,32.2,13
999,2.4388,10.5,1,34.9,13
1000,2.4567,14.0,0,31.5,14
1001,3.508,13.3,0,42.3,8
1002,3.0488,13.6,0,35.9,13
1003,2.6658,11.8,1,44.2,14
1004,2.9622,13.8,0,32.1,14
1005,2.5714,14.1,0,30.6,12
1006,2.7877,11.3,0,36.5,10
1007,2.4464,12.3,0,31.0,11
1008,2.7798,13.1,1,34.1,15
1009,1.5564,9.6,1,35.3,11
1010,2.1308,13.6,0,29.5,13
1011,3.1405,13.5,0,32.7,13
1012,2.9628,13.1,1,40.0,15
1013,3.3246,17.4,0,42.5,11
1014,2.74,14.1,1,41.7,14
1015,2.1705,12.7,0,42.9,11
1016,3.3842,15.0,0,32.3,12
1017,2.6605,13.9,0,28.6,13
1018,2.7306,15.4,0,22.0,15
1019,2.9273,15.7,0,33.4,13
1020,2.6767,13.0,0,29.7,16
1021,2.9637,16.1,0,37.7,13
1022,2.5781,12.5,1,32.6,8
1023,2.5745,11.1,0,60.0,8
1024,2.6623,11.1,0,47.6,9
1025,3.4156,13.7,0,35.5,13
1026,2.9142,15.2,0,36.9,13
1027,2.8601,11.9,0,40.6,14
1028,2.1462,14.2,0,24.3,14
1029,3.0227,15.8,0,35.9,12
1030,2.4558,13.6,0,29.8,10
1031,2.6177,12.3,1,31.6,8
1032,2.7716,13.0,0,30.4,13
1033,2.6735,16.0,0,22.0,15
1034,2.7582,13.6,0,30.6,15
1035,3.1414,13.7,0,40.2,11
1036,2.6034,15.8,0,31.5,13
1037,2.3001,10.4,1,31.2,15
1038,2.4694,14.5,0,25.7,11
1039,3.3477,16.2,0,29.9,15
1040,2.3352,12.2,0,41.3,13
1041,1.9598,14.3,0,32.7,10
1042,2.4543,13.0,0,40.0,15
1043,2.5413,15.4,1,33.1,14
1044,2.6498,13.5,0,38.0,15
1045,3.2491,15.7,1,45.6,10
1046,2.4108,13.3,0,36.2,18
1047,2.777,13.4,0,23.3,13
1048,3.4452,14.2,1,41.9,13
1049,2.5261,11.6,0,38.8,15
1050,3.4202,14.4,0,32.7,10
1051,1.9819,14.0,0,35.0,12
1052,2.9435,13.9,0,38.4,13
1053,3.2684,13.3,0,27.5,11
1054,2.5556,13.7,0,41.2,10
1055,2.4352,13.5,1,30.0,18
1056,2.8815,14.8,0,23.5,12
1057,2.3342,13.2,0,24.1,15
1058,3.0918,12.8,1,39.4,10
1059,2.9166,12.7,0,46.9,11
1060,2.5589,11.9,0,32.9,11
1061,2.7778,12.4,1,22.0,13
1062,2.5724,11.5,1,32.1,12
1063,2.567,13.3,1,34.6,15
1064,3.2712,15.4,0,26.8,11
1065,2.3368,13.4,0,35.5,14
1066,2.8533,15.5,0,40.7,9
1067,2.5174,13.4,1,40.6,11
1068,2.8281,15.0,0,32.4,14
1069,1.6861,12.0,1,32.7,7
1070,2.8225,15.3,0,34.0,11
1071,3.2078,13.1,0,47.8,13
1072,2.3298,15.1,0,32.2,14
1073,2.95,14.2,0,48.9,10
1074,3.0249,14.0,0,43.8,12
1075,2.7159,14.5,0,36.2,7
1076,2.8804,14.3,1,30.3,15
1077,2.4496,14.0,0,27.4,16
1078,2.2267,12.1,0,32.0,12
1079,2.3361,13.0,1,32.0,15
1080,2.4834,15.9,0,22.0,12
1081,2.5572,12.8,0,29.5,12
1082,2.8731,12.4,0,56.3,12
1083,2.4736,15.6,1,22.0,13
1084,3.3591,14.9,0,42.2,10
1085,2.2612,13.5,0,35.2,14
1086,2.5152,12.6,1,40.8,13
1087,3.3649,14.2,0,46.4,15
1088,3.3144,15.2,1,37.9,14
1089,2.3808,15.2,0,38.1,12
1090,2.8987,13.0,0,28.4,8
1091,2.3186,11.1,1,22.0,8
1092,2.8217,15.7,0,28.2,13
1093,1.9348,10.6,1,48.9,14
1094,3.2696,13.7,0,41.6,18
1095,3.0701,10.9,1,39.3,16
1096,2.7924,12.9,0,38.4,10
1097,2.3345,12.3,0,41.9,14
1098,3.3601,13.6,0,42.4,14
1099,2.1849,12.5,1,44.5,14
1100,2.4992,13.0,0,31.1,10
1101,2.7363,13.2,0,46.0,8
1102,2.6512,13.2,0,45.5,12
1103,2.7336,12.7,0,33.6,12
1104,2.7389,13.6,0,28.9,13
1105,3.1541,14.6,0,45.0,11
1106,2.9998,12.5,1,36.8,14
1107,2.4547,12.3,0,46.8,14
1108,2.6618,14.3,0,40.8,11
1109,2.4154,12.3,1,34.7,13
1110,2.9734,15.0,0,42.3,12
1111,2.639,13.6,0,39.7,13
1112,2.4681,13.3,0,27.6,10
1113,3.2075,14.8,0,31.5,12
1114,2.9016,14.9,0,46.5,14
1115,2.9803,13.8,0,42.8,9
1116,2.0026,14.1,0,25.7,12
1117,3.1355,14.1,0,40.2,11
1118,2.4956,13.3,1,34.2,12
1119,2.8777,12.5,1,22.0,6
1120,3.4478,15.5,0,38.6,12
1121,2.8121,14.2,0,22.0,7
1122,3.0147,14.4,0,22.0,11
1123,3.6061,15.0,1,45.6,14
1124,3.0286,15.2,0,47.6,10
1125,2.499,10.9,0,39.9,13
1126,3.1427,15.1,0,47.3,15
1127,2.4847,11.9,0,43.7,15
1128,2.9238,15.2,1,42.8,17
1129,3.2792,15.6,0,49.9,14
1130,2.9752,13.2,0,31.1,12
1131,2.2146,14.1,0,37.3,13
1132,1.6996,12.7,0,27.5,13
1133,3.401,14.8,0,34.0,15
1134,2.4831,13.0,0,31.8,8
1135,2.8348,12.3,0,31.9,16
1136,2.8011,12.1,0,40.6,11
1137,2.7542,14.1,0,37.1,16
1138,2.6998,15.4,0,32.4,7
1139,2.6686,16.2,1,46.8,13
1140,3.2662,15.8,0,41.8,15
1141,2.3693,14.0,0,32.5,12
1142,2.6997,13.2,0,44.6,11
1143,3.0379,15.0,0,27.1,14
1144,2.6391,14.2,0,49.7,11
1145,2.8135,11.6,1,43.1,10
1146,2.5646,12.8,0,24.8,12
1147,3.7022,14.5,1,46.5,15
1148,2.3513,12.8,0,39.7,12
1149,2.4248,11.9,1,41.8,12
1150,2.3561,12.9,0,34.6,9
1151,3.1894,14.5,1,27.7,14
1152,3.353,13.8,0,33.6,10
1153,2.2897,15.6,1,33.5,15
1154,2.6541,13.7,0,32.5,14
1155,3.0012,12.9,0,42.0,11
1156,2.7398,14.7,0,33.0,17
1157,3.0052,14.1,0,38.0,11
1158,3.395,15.4,0,43.9,13
1159,2.4312,13.5,1,30.1,15
1160,2.9737,15.6,0,22.0,16
1161,2.6671,14.6,0,22.0,13
1162,2.5877,14.5,0,31.4,16
1163,2.5787,14.0,0,22.0,8
1164,2.7704,13.5,0,38.0,10
1165,2.4868,13.6,1,29.5,12
1166,2.8851,14.3,0,38.6,12
1167,2.655,11.0,1,31.0,7
1168,2.4424,13.9,0,41.3,10
1169,2.8215,15.6,0,34.4,15
1170,3.0682,15.4,0,26.1,12
1171,2.8892,15.9,0,50.5,11
1172,3.2369,14.8,0,37.5,12
1173,2.5668,13.6,0,22.0,15
1174,2.7962,13.0,0,40.9,12
1175,2.6591,13.0,0,40.8,13
1176,2.1009,11.8,0,43.2,10
1177,3.1086,17.2,0,28.8,16
1178,2.8641,12.0,0,30.7,8
1179,2.5793,10.0,1,42.2,15
1180,2.6374,13.3,0,33.7,12
1181,3.256,15.0,0,34.4,12
1182,2.6895,14.1,1,41.1,11
1183,3.306,14.4,1,45.7,14
1184,2.8317,13.4,0,33.8,15
1185,2.4414,14.0,0,31.2,14
1186,2.7898,14.0,0,28.7,10
1187,2.8495,13.4,0,40.6,11
1188,2.9234,12.4,0,48.6,10
1189,2.7794,11.2,0,34.6,16
1190,2.8716,12.2,0,35.9,15
1191,3.3138,13.0,0,41.6,11
1192,2.456,11.8,0,34.6,12
1193,3.2046,16.4,0,22.0,13
1194,3.4826,15.1,0,35.2,19
1195,2.55,12.6,1,22.0,13
1196,3.1068,14.1,0,32.6,10
1197,2.2722,11.3,0,41.3,13
1198,2.2829,13.2,1,27.5,10
1199,2.6906,12.4,0,33.4,11
1200,2.4717,11.6,1,39.3,13
1201,2.3877,14.7,0,22.0,14
1202,2.6132,11.6,1,37.3,11
1203,2.6879,12.2,0,27.8,9
1204,3.5313,13.5,0,40.5,10
1205,2.5236,12.8,0,34.4,14
1206,2.6141,15.7,0,52.6,12
1207,2.3145,14.2,0,36.8,14
1208,2.9473,14.1,0,30.2,15
1209,2.8765,14.3,0,35.8,13
1210,2.5844,9.7,0,45.7,7
1211,1.9327,13.6,0,24.2,11
1212,2.5683,13.5,1,26.0,11
1213,2.9085,14.6,0,26.0,13
1214,2.6314,10.6,1,46.3,11
1215,2.8106,13.1,1,42.8,15
1216,2.328,13.1,1,38.1,14
1217,2.5179,14.5,0,28.0,15
1218,2.4835,13.1,1,28.4,10
1219,2.7848,12.4,0,34.5,12
1220,2.5349,13.0,0,26.2,11
1221,3.0031,14.3,0,47.5,9
1222,2.5686,12.6,0,35.2,13
1223,2.7758,12.8,1,36.5,10
1224,3.1814,14.9,0,25.9,14
1225,3.3345,13.2,0,24.3,10
1226,3.0825,12.4,1,39.5,13
1227,2.7878,15.3,0,23.5,10
1228,2.7866,14.5,0,27.4,8
1229,2.6235,14.4,0,22.0,15
1230,2.5923,12.1,1,35.5,11
1231,2.5673,16.0,0,40.6,15
1232,2.4929,13.0,0,30.4,10
1233,2.7983,13.8,1,22.0,16
1234,2.5176,14.6,0,44.0,10
1235,2.7384,12.4,0,42.6,10
1236,2.0139,12.9,0,38.2,17
1237,3.3512,15.1,1,38.2,16
1238,3.5996,16.8,0,32.5,12
1239,2.3386,16.1,0,22.4,14
1240,2.6383,14.6,0,34.5,12
1241,3.3011,15.3,1,37.3,14
1242,2.0185,12.7,1,29.3,8
1243,2.6243,12.7,1,43.0,17
1244,2.7307,12.3,0,39.0,10
1245,2.3043,12.4,0,42.7,13
1246,2.836,14.9,1,34.7,17
1247,2.8351,13.5,1,28.7,12
1248,2.6983,14.5,0,31.8,8
1249,2.5471,13.9,1,39.5,8
1250,2.8598,13.8,0,32.7,12
1251,2.7134,11.4,1,49.4,14
1252,3.0915,13.2,0,30.0,9
1253,2.9677,14.4,1,32.8,13
1254,2.918,12.9,0,30.6,14
1255,2.6799,13.7,0,46.4,14
1256,2.3855,11.6,1,32.6,10
1257,2.2681,13.0,0,22.0,16
1258,2.6457,11.7,0,49.4,12
1259,2.8154,13.6,0,35.7,15
1260,2.6044,12.0,0,47.9,12
1261,2.5039,16.2,0,28.1,11
1262,2.7323,11.7,1,22.5,15
1263,2.9061,13.2,0,27.8,15
1264,2.3781,12.4,1,31.9,10
1265,2.8285,11.9,0,36.0,9
1266,2.3132,13.9,0,22.0,13
1267,2.9828,13.1,1,43.4,13
1268,2.1215,12.5,0,22.0,11
1269,3.2975,15.6,0,32.9,9
1270,3.0403,13.4,0,40.0,10
1271,3.2824,13.8,0,53.7,11
1272,3.3375,15.5,0,55.3,14
1273,2.4407,14.3,0,36.4,13
1274,2.6487,12.7,1,34.5,13
1275,2.7234,13.3,0,22.7,10
1276,2.8662,12.9,0,30.5,10
1277,2.6497,12.7,0,41.7,9
1278,2.416,12.2,0,36.9,11
1279,3.2663,15.2,0,36.7,17
1280,2.8895,13.9,0,39.9,11
1281,3.1742,12.6,0,44.1,16
1282,3.0268,14.2,1,31.3,13
1283,2.8283,15.1,0,33.7,10
1284,2.3092,13.6,0,40.9,13
1285,2.5566,12.2,0,35.9,6
1286,3.5306,16.4,0,39.0,17
1287,2.4502,15.6,0,42.5,11
1288,2.1594,11.7,0,22.2,12
1289,2.7335,15.0,0,43.0,17
1290,2.9877,14.7,1,37.1,15
1291,3.0773,15.1,0,31.3,15
1292,2.7777,13.9,0,40.4,13
1293,2.7654,15.1,0,40.7,13
1294,2.8353,12.0,1,38.7,13
1295,2.2415,12.1,1,50.2,13
1296,2.1816,10.5,0,41.2,9
1297,2.1621,13.6,0,33.9,11
1298,2.8219,13.6,1,22.0,16
1299,2.8278,11.6,0,46.2,13
1300,3.0618,14.6,0,49.6,11
1301,2.4397,12.3,0,36.2,16
1302,2.341,11.5,1,25.2,11
1303,3.4429,13.2,1,42.7,12
1304,2.7714,13.0,0,29.3,10
1305,2.8248,13.1,0,28.4,14
1306,2.4743,12.2,0,43.0,13
1307,3.3514,14.4,0,35.9,15
1308,2.891,12.2,0,43.8,10
1309,2.5113,14.0,1,32.5,11
1310,2.1786,11.1,1,40.9,16
1311,2.5102,13.5,0,42.7,8
1312,3.2951,15.4,0,23.9,12
1313,2.7191,12.1,1,39.8,11
1314,3.204,13.2,1,32.7,16
1315,2.8305,13.8,0,33.3,14
1316,1.7048,13.5,1,31.6,13
1317,2.7145,13.5,1,42.1,11
1318,2.3237,13.3,1,35.6,13
1319,2.208,14.8,0,28.9,10
1320,2.1994,12.4,0,29.9,16
1321,2.7699,12.1,0,25.6,9
1322,2.7115,13.8,0,28.9,14
1323,2.4681,12.6,0,28.6,13
1324,2.5803,14.6,0,32.3,12
1325,2.8914,14.8,0,32.1,13
1326,3.1785,14.0,0,35.4,9
1327,2.7903,12.9,0,35.9,14
1328,3.135,14.7,1,45.1,12
1329,2.9116,14.9,0,47.8,11
1330,2.2712,12.0,0,44.1,12
1331,2.9561,15.5,0,35.1,14
1332,2.0601,12.5,1,42.0,10
1333,2.9805,12.5,0,38.4,13
1334,2.8959,13.0,0,36.5,15
1335,3.6339,17.2,0,22.0,14
1336,2.601,11.8,0,46.0,17
1337,2.7148,13.6,1,44.4,14
1338,2.262,13.3,0,35.7,16
1339,2.9403,13.8,0,33.0,11
1340,2.5068,12.1,1,42.9,14
1341,2.2661,13.5,1,24.9,15
1342,2.0553,11.8,0,36.6,16
1343,3.0772,13.8,1,48.5,12
1344,2.0285,11.3,1,33.0,11
1345,3.1323,15.1,1,50.5,16
1346,2.7419,13.4,0,34.0,11
1347,2.8417,14.5,0,33.7,15
1348,2.6394,14.2,0,35.4,11
1349,2.3019,11.0,0,22.0,15
1350,2.8774,13.1,0,22.0,10
1351,2.4644,11.2,0,24.6,8
1352,3.0739,13.6,0,48.2,12
1353,2.411,12.6,0,52.3,14
1354,2.9553,14.7,0,29.2,14
1355,2.3825,14.0,0,32.7,13
1356,3.5632,15.5,1,25.3,15
1357,2.5377,13.7,0,32.2,16
1358,2.1828,12.7,0,48.5,10
1359,2.3402,13.4,0,35.6,12
1360,2.5195,14.3,0,22.0,11
1361,2.6416,12.8,0,31.8,13
1362,2.7401,12.0,0,35.3,11
1363,3.1818,13.8,0,48.7,13
1364,2.9915,14.6,0,26.4,13
1365,3.0608,15.3,0,42.4,11
1366,2.9557,16.0,0,35.7,12
1367,2.1868,12.7,0,23.5,12
1368,3.257,16.6,0,38.4,11
1369,2.9293,12.8,1,22.0,8
1370,3.4118,16.0,0,32.5,15
1371,3.0655,15.4,0,30.2,16
1372,2.1092,11.8,0,23.7,13
1373,2.6094,11.8,1,29.0,13
1374,2.889,15.4,0,43.9,11
1375,2.922,12.6,1,44.6,12
1376,2.3142,12.2,0,33.6,11
1377,2.6092,15.0,0,30.9,11
1378,2.5207,13.3,0,30.8,19
1379,2.731,15.6,0,34.0,11
1380,3.2465,14.1,0,33.7,11
1381,2.3222,12.9,0,36.5,15
1382,2.7774,12.4,0,37.3,11
1383,2.5025,13.6,0,34.5,15
1384,2.5016,13.3,0,22.0,13
1385,2.7373,13.5,0,45.2,13
1386,2.7305,12.5,1,40.2,12
1387,2.746,13.6,0,39.7,12
1388,2.2551,12.2,0,31.1,9
1389,2.3436,13.1,0,33.6,12
1390,2.7211,12.5,0,27.1,11
1391,2.702,13.8,0,31.2,14
1392,2.2999,13.2,1,35.1,10
1393,2.9178,14.2,0,44.9,11
1394,2.796,13.0,1,36.5,13
1395,2.6216,13.0,0,46.7,9
1396,3.1792,13.3,1,27.9,11
1397,2.5998,15.3,0,22.0,13
1398,3.1769,15.4,0,28.0,13
1399,2.6894,12.2,0,34.9,13
1400,2.2697,12.3,1,32.7,10
1401,2.1289,11.9,0,48.7,14
1402,3.3466,14.9,0,32.3,11
1403,2.9732,13.9,0,35.6,14
1404,2.3797,13.9,1,29.3,13
1405,2.4232,12.1,0,41.6,12
1406,2.7963,11.6,0,28.8,11
1407,3.1891,13.9,0,33.1,14
1408,2.5293,10.9,1,32.2,12
1409,2.7773,14.7,0,26.6,13
1410,2.9278,14.4,1,36.8,15
1411,2.6882,14.4,0,24.0,12
1412,2.6313,11.3,0,40.0,11
1413,2.5445,11.7,0,43.5,11
1414,2.3254,11.8,1,48.9,12
1415,3.6494,15.3,0,42.8,12
1416,2.8789,14.4,1,33.0,15
1417,3.4607,14.0,1,46.1,11
1418,1.9982,12.3,1,22.0,12
1419,2.7229,14.2,1,40.8,11
1420,2.7821,11.7,1,22.0,10
1421,2.0234,11.9,0,40.8,13
1422,2.0481,11.8,0,35.1,9
1423,2.864,14.2,0,38.0,11
1424,2.5998,12.8,1,26.7,12
1425,2.6133,13.1,0,48.5,13
1426,2.6364,12.8,0,33.8,12
1427,2.6002,14.0,0,32.7,12
1428,2.7054,14.5,0,36.3,15
1429,2.6296,14.4,0,25.3,12
1430,3.0845,14.3,0,39.8,11
1431,2.4768,12.6,0,33.2,15
1432,1.7534,10.7,0,24.0,13
1433,2.9631,14.4,0,40.2,15
1434,3.2868,14.7,0,40.9,16
1435,3.2766,16.2,0,32.6,18
1436,2.7649,14.4,1,36.0,8
1437,2.9004,13.7,0,41.5,12
1438,3.0222,14.1,0,26.5,13
1439,3.0291,14.1,0,28.4,9
1440,3.5253,15.6,1,50.9,11
1441,2.4778,15.6,0,32.4,14
1442,2.3247,13.6,1,22.0,14
1443,2.573,13.6,0,31.5,10
1444,2.6717,12.4,0,36.3,13
1445,1.9606,15.4,0,22.0,9
1446,2.7307,15.1,1,33.9,12
1447,2.3484,11.4,0,43.2,10
1448,2.3486,12.0,0,27.2,13
1449,2.4641,14.1,0,30.3,12
1450,2.0685,12.0,0,28.3,11
1451,2.6323,14.4,0,27.5,14
