id,satisfaction,study_hours,attendance,part_time,online,prior_score
701,3,11.9,79.3,1,1,62.3
702,2,3.8,95.8,0,0,70.3
703,4,12.2,73.6,0,0,54.6
704,4,7.8,75.0,1,1,70.2
705,4,5.1,89.9,0,0,85.9
706,4,12.5,95.0,0,0,73.0
707,5,6.3,82.0,1,0,69.1
708,5,6.5,84.8,0,1,60.5
709,5,13.7,74.6,0,0,75.5
710,5,7.8,82.2,0,0,70.7
711,3,5.9,85.2,1,1,41.9
712,4,10.9,81.5,0,1,56.3
713,4,11.9,87.5,0,1,67.2
714,4,4.4,76.7,0,1,81.0
715,3,0,79.2,0,0,75.0
716,4,10.2,71.7,0,0,71.7
717,4,6.7,73.9,0,1,61.8
718,3,2.3,75.8,0,0,51.8
719,2,1.4,80.0,1,0,62.2
720,2,7.7,75.2,1,0,77.2
721,5,7.1,82.6,0,0,78.4
722,2,11.7,77.4,1,0,37.0
723,5,8.0,73.6,0,1,51.4
724,5,14.9,88.2,0,0,70.6
725,4,9.7,80.9,0,1,51.4
726,3,9.7,72.9,0,0,71.7
727,5,7.5,77.3,1,0,70.4
728,4,8.6,86.1,1,1,58.0
729,3,8.0,86.7,1,0,79.5
730,3,5.1,65.7,0,1,60.9
731,4,10.4,97.7,0,0,65.5
732,2,11.3,85.9,1,0,64.4
733,5,9.8,87.7,0,1,71.2
734,2,5.9,69.2,0,0,76.0
735,2,9.8,63.3,0,1,70.4
736,4,10.1,71.8,1,0,61.8
737,1,6.5,68.6,1,0,78.0
738,3,12.1,67.3,1,0,66.0
739,4,5.6,87.3,0,0,62.4
740,3,8.5,67.4,1,0,77.3
741,4,7.6,75.7,0,0,75.7
742,3,3.4,71.3,0,0,50.5
743,1,9.5,85.1,0,0,63.5
744,3,11.4,76.1,1,0,55.6
745,1,5.9,91.3,0,0,64.5
746,3,3.5,79.1,1,0,44.7
747,3,7.3,97.8,0,0,66.2
748,5,5.4,77.6,1,0,76.3
749,2,9.0,73.7,1,0,62.5
750,4,8.8,78.8,1,1,81.5
751,4,3.7,100,1,1,52.4
752,2,7.2,72.7,1,1,61.9
753,2,2.2,60.2,0,0,54.4
754,4,9.8,84.1,0,1,47.6
755,3,1.0,70.7,0,1,63.1
756,1,13.0,83.7,1,0,67.6
757,3,5.4,72.4,0,1,84.7
758,5,8.0,89.8,1,0,80.5
759,5,10.2,78.9,1,1,66.8
760,4,12.6,83.0,1,0,59.2
761,2,7.4,73.4,1,0,61.9
762,4,10.2,89.8,0,1,85.4
763,4,8.8,83.9,0,1,90.7
764,3,8.9,59.7,0,0,74.1
765,2,12.7,93.6,1,0,91.5
766,4,6.9,67.3,0,0,70.4
767,1,10.1,88.2,1,0,59.5
768,4,11.1,80.1,1,1,76.1
769,3,9.9,85.3,0,1,47.5
770,4,9.0,89.3,0,0,80.7
771,2,9.6,80.1,0,0,58.4
772,4,13.3,92.1,1,0,81.4
773,3,5.4,72.2,0,0,83.2
774,1,6.9,77.3,0,0,75.1
775,4,13.2,82.0,0,0,73.3
776,3,7.4,72.4,1,0,69.8
777,2,9.0,84.2,1,0,79.0
778,4,9.7,85.7,1,0,82.8
779,3,5.3,83.7,0,0,71.3
780,5,8.8,94.0,0,1,53.0
781,3,7.0,95.6,0,1,54.9
782,5,12.8,79.3,0,0,70.9
783,4,11.6,90.0,1,1,59.6
784,4,9.5,79.7,1,0,64.7
785,4,10.4,77.2,0,0,78.2
786,1,6.6,78.0,1,0,64.1
787,4,8.1,82.6,0,0,70.3
788,4,9.7,79.4,0,0,68.4
789,4,16.2,99.7,0,0,85.7
790,1,5.8,77.3,1,0,36.9
791,3,3.1,78.0,1,0,66.0
792,5,7.9,79.3,0,1,73.3
793,5,13.9,80.3,1,0,66.7
794,4,7.1,80.9,0,0,68.4
795,2,6.9,79.0,0,1,74.6
796,3,10.1,66.8,0,0,43.7
797,3,7.0,81.1,0,0,73.4
798,3,12.0,80.2,0,0,60.7
799,3,6.2,82.8,1,1,70.2
800,2,9.6,76.1,0,0,52.3
