idcode,age,married,never_1,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,ln_wage,hours,ttl_exp,tenure,collgrad_ttl_exp,race,un_union
1164,36,0,1,10,0,0,SMSA,1,Business/Repair Svc,Laborers,1,5.684378,1.73772171,53,5.211538,1.416667,0,0,0
1169,38,1,0,12,0,0,SMSA,0,Manufacturing,Professional/technical,0,11.83575,2.471124612,24,15.42308,2.333333,0,1,1
1171,44,0,0,13,0,0,SMSA,1,Professional Services,Sales,0,8.132044,2.095812306,40,26.53846,14.41667,0,0,1
1174,37,0,1,14,0,0,SMSA,1,Manufacturing,Operatives,1,12.0773,2.491327658,40,9.333333,9.333333,0,0,0
1177,39,1,0,12,0,0,SMSA,1,Professional Services,Sales,0,6.239936,1.830969926,40,9.826922,5.416667,0,0,1
1181,39,0,0,13,0,0,SMSA,1,Professional Services,Professional/technical,1,7.930756,2.070748365,40,13.53846,3.75,0,0,0
1186,37,1,0,11,0,0,SMSA,1,Manufacturing,Craftsmen,0,3.526568,1.26032516,40,7.865385,,0,0,1
1188,35,0,0,12,0,0,SMSA,0,Business/Repair Svc,Sales,0,4.025765,1.392714955,32,7.307692,3.083333,0,1,1
1196,36,1,0,18,1,0,SMSA,0,Professional Services,Managers/admin,,32.15846,3.470675558,50,13.35897,3,13.35897,0,
1198,37,1,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,0,7.431559,2.005735662,40,14.80769,5.916667,0,1,1
1201,37,1,0,14,0,0,SMSA,0,Ag/Forestry/Fisheries,Sales,0,6.191625,1.823197572,50,8.147436,2.5,0,1,1
1203,36,1,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Sales,,6.793478,1.915963034,40,14,0.3333333,0,0,
1204,36,1,0,13,0,0,SMSA,1,Transport/Comm/Utility,Operatives,1,10.46699,2.348226495,42,12.60256,12.33333,0,0,0
1209,40,1,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,0,25.80515,3.250574084,36,19.15385,4.916667,0,1,1
1213,40,0,0,16,1,1,SMSA,0,Wholesale/Retail Trade,Laborers,0,4.025765,1.392714955,40,7.307693,1.083333,7.307693,1,1
1217,37,0,0,12,0,1,SMSA,0,Wholesale/Retail Trade,Sales,0,2.874396,1.055842565,35,5.615385,4.333333,0,0,1
1218,41,1,0,12,0,0,SMSA,0,Personal Services,Sales,0,4.428341,1.488025022,26,6.730769,1.583333,0,1,1
1219,39,0,1,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,15.09662,2.714470878,40,20.30769,20.25,0,1,1
1222,41,0,1,13,0,0,SMSA,1,,Sales,0,6.843801,1.923343279,40,12.98077,0,0,0,1
1224,41,1,0,15,0,0,SMSA,1,Professional Services,Sales,0,6.513685,1.873905348,38,2.570513,0.75,0,2,1
1227,36,1,0,12,0,0,SMSA,1,Finance/Ins/Real Estate,Sales,0,5.072463,1.623826498,40,9.576923,1.083333,0,1,1
1228,39,0,0,11,0,0,SMSA,1,Professional Services,Laborers,0,4.830918,1.575036512,40,3.282051,2.333333,0,1,1
1233,34,0,0,15,0,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,0,4.355878,1.471526197,37,9.557693,2.75,0,0,1
1238,43,1,0,16,1,0,SMSA,1,Finance/Ins/Real Estate,Laborers,,13.01632,2.566203955,10,5.942307,1.5,5.942307,0,
1241,45,0,0,14,0,0,SMSA,1,Transport/Comm/Utility,Sales,0,9.677936,2.269848655,40,9.692307,2.75,0,1,1
1242,37,1,0,13,0,1,SMSA,0,Manufacturing,Sales,0,6.843801,1.923343279,40,7.038462,4.166667,0,1,1
1243,44,0,0,16,1,0,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,,5.627731,1.727706341,2,14.28846,2.5,14.28846,1,
1247,35,1,0,18,1,1,SMSA,1,Professional Services,Professional/technical,0,17.54428,2.864727971,30,14.36539,2.5,14.36539,1,1
1248,41,1,0,18,1,0,SMSA,1,Professional Services,Other,1,10.84541,2.383741949,36,10.69231,5.75,10.69231,1,0
1250,35,0,1,17,1,0,SMSA,1,Public Administration,Sales,0,6.964568,1.940835581,40,11.34615,3.666667,11.34615,0,1
1257,41,0,1,12,0,0,SMSA,1,Manufacturing,Managers/admin,0,9.533008,2.254760303,38,20.83333,20.83333,0,0,1
1259,42,1,0,12,0,0,SMSA,0,Business/Repair Svc,Sales,,8.528425,2.143404702,40,6.25,1.916667,0,1,
1263,42,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Clerical/unskilled,0,3.502414,1.253452445,40,8.692307,1.583333,0,1,1
1264,44,0,1,14,0,0,SMSA,1,Professional Services,Sales,0,5.418679,1.689852059,60,19.21154,0,0,0,1
1266,38,1,0,12,0,0,SMSA,1,Wholesale/Retail Trade,Sales,0,7.608693,2.029291409,40,16.78846,13.33333,0,0,1
1269,36,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,7.399352,2.001392429,40,16.98077,13.75,0,1,1
1271,42,1,0,12,0,0,SMSA,0,Professional Services,Laborers,0,3.762542,1.325094793,5,6.788462,0.75,0,1,1
1273,39,0,1,12,0,0,nonSMSA,0,Personal Services,Operatives,0,3.220612,1.169571404,40,1.314103,0.25,0,1,1
1275,42,1,0,12,0,0,SMSA,1,Professional Services,Professional/technical,1,8.558774,2.146956956,40,16.48077,11.5,0,0,0
1276,38,0,0,13,0,0,SMSA,1,Manufacturing,Operatives,1,7.351045,1.99484248,40,16.51923,15,0,0,0
1280,35,0,1,12,0,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,0,3.4219,1.230195952,40,8.378205,1.416667,0,0,1
1283,42,0,1,17,1,0,SMSA,1,Professional Services,Other,1,11.07085,2.404315528,40,17.41667,17.41667,17.41667,0,0
1284,34,1,0,11,0,0,SMSA,0,Manufacturing,Craftsmen,1,5.716585,1.743371599,40,12.26923,9.416667,0,0,0
1288,39,1,0,18,1,0,SMSA,0,Professional Services,Other,1,8.671494,2.160041094,50,16.91667,16.91667,16.91667,1,0
1289,38,0,0,16,1,0,SMSA,0,Manufacturing,Craftsmen,0,10.71906,2.372023465,48,12.41026,9.416667,12.41026,1,1
1292,43,0,0,12,0,0,SMSA,1,Manufacturing,Operatives,0,4.025765,1.392714955,40,8.955129,0.1666667,0,0,1
1304,43,1,0,15,0,0,SMSA,0,Personal Services,Managers/admin,0,5.507244,1.706064317,45,9.615385,6.25,0,1,1
1309,42,1,0,16,1,0,nonSMSA,0,Professional Services,Sales,0,3.904991,1.362255479,20,12.90385,3.25,12.90385,1,1
1313,41,0,0,18,1,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,0,12.77777,2.547706942,40,10.07692,1.666667,10.07692,1,1
1320,43,1,0,12,0,0,SMSA,0,Professional Services,Laborers,,4.025765,1.392714955,3,2.519231,0,0,1,
1322,35,1,0,14,0,1,nonSMSA,0,Professional Services,Managers/admin,0,7.447664,2.007900426,40,11,0.3333333,0,1,1
1325,35,0,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,4.186793,1.431935047,40,8.326923,0.1666667,0,1,1
1330,41,0,0,12,0,0,SMSA,0,Business/Repair Svc,Sales,0,6.964568,1.940835581,40,10.98077,9.416667,0,1,1
1339,41,1,0,12,0,0,SMSA,0,Transport/Comm/Utility,Sales,0,8.05153,2.085862135,30,13.88461,10.66667,0,1,1
1340,43,1,0,12,0,0,SMSA,0,Professional Services,Sales,,5.852843,1.766927526,28,4.576923,1,0,1,
1345,36,0,0,12,0,0,SMSA,0,Personal Services,Managers/admin,,22.97034,3.134203819,70,11.17949,4.5,0,1,
1349,37,0,0,14,0,0,SMSA,1,Transport/Comm/Utility,Operatives,1,9.017712,2.199190643,44,7.596154,5.75,0,0,0
1355,35,1,0,15,0,0,SMSA,0,Manufacturing,Managers/admin,0,9.29146,2.229095699,40,15.83333,15.83333,0,0,1
1358,42,1,0,12,0,0,nonSMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,0,10.32206,2.334283353,60,12.14103,2.083333,0,1,1
1361,41,1,0,17,1,0,SMSA,0,Manufacturing,Managers/admin,0,17.02898,2.834916599,40,17.88461,2.166667,17.88461,1,1
1362,38,1,0,14,0,0,SMSA,0,Wholesale/Retail Trade,Operatives,0,3.220612,1.169571404,16,5.26282,1,0,1,1
1364,39,1,0,16,1,0,SMSA,1,Professional Services,Managers/admin,0,13.9372,2.634561524,50,17.15385,3,17.15385,1,1
1366,42,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Laborers,,3.344482,1.207311824,33,14.33974,1.333333,0,1,
1367,43,1,0,15,0,0,nonSMSA,0,Wholesale/Retail Trade,Sales,0,4.025765,1.392714955,40,13.66667,13.66667,0,1,1
1370,34,0,0,15,0,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,0,8.904991,2.186611906,40,11.28846,11.25,0,1,1
1371,36,1,0,14,0,0,SMSA,0,Wholesale/Retail Trade,Laborers,0,8.856684,2.181172428,35,10.5,10.5,0,1,1
1373,43,1,0,11,0,0,SMSA,1,Professional Services,Sales,1,12.75338,2.545796335,40,14.14103,6.833333,0,0,0
1376,39,0,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Sales,,5.434783,1.692819593,40,13.21795,0.3333333,0,0,
1379,43,0,1,12,0,0,SMSA,1,Public Administration,Sales,0,10.12882,2.315384826,40,16.44231,10.91667,0,0,1
1380,37,0,0,11,0,0,SMSA,1,Manufacturing,Operatives,1,8.011269,2.080849175,40,15.34615,9.75,0,0,0
1381,44,1,0,12,0,0,SMSA,0,Manufacturing,Operatives,1,11.27214,2.422334195,40,21,20.91667,0,0,0
1384,43,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,3.220612,1.169571404,20,5.173077,2.333333,0,1,1
1385,38,0,0,15,0,0,SMSA,0,Manufacturing,Managers/admin,0,6.199676,1.824497033,60,12.95513,0.6666667,0,1,1
1386,35,1,0,11,0,0,SMSA,0,Personal Services,Laborers,,3.762542,1.325094793,32,4.442307,0.1666667,0,1,
1389,37,1,0,11,0,1,nonSMSA,0,Manufacturing,Operatives,,3.051839,1.11574436,40,5.807693,0.5833333,0,1,
1394,42,0,0,18,1,0,SMSA,0,Manufacturing,Craftsmen,1,9.500801,2.251376111,44,15.90385,15.08333,15.90385,1,0
1396,41,1,0,18,1,0,SMSA,0,Professional Services,Other,1,16.25603,2.788463917,40,18.83333,18.83333,18.83333,1,0
1398,36,0,0,17,1,0,SMSA,1,Transport/Comm/Utility,Sales,0,11.45732,2.438628827,50,15.61539,12.83333,15.61539,0,1
1408,37,1,0,16,1,0,SMSA,1,Professional Services,Other,1,14.57326,2.679188343,34,12.9359,5.833333,12.9359,0,0
1411,40,1,0,12,0,1,SMSA,0,Professional Services,Managers/admin,0,3.220612,1.169571404,30,16.08974,1.833333,0,1,1
1415,38,1,0,16,1,0,SMSA,1,Personal Services,Laborers,,9.677936,2.269848655,8,11.69231,3.916667,11.69231,1,
1418,40,1,0,12,0,0,SMSA,0,Manufacturing,Sales,0,5.925924,1.779336624,40,8.814103,3.75,0,1,1
1420,40,0,1,12,0,0,SMSA,1,Transport/Comm/Utility,Sales,1,8.816422,2.176616119,40,17.40385,15.08333,0,0,0
1426,37,0,1,12,0,1,SMSA,1,Professional Services,Professional/technical,0,4.830918,1.575036512,40,5.185898,3,0,1,1
1427,36,1,0,12,0,0,SMSA,1,Finance/Ins/Real Estate,Sales,0,4.58132,1.521987166,40,10.6218,3,0,1,1
1428,42,0,0,18,1,0,SMSA,1,Professional Services,Other,1,19.43417,2.967032857,40,15.63462,7.25,15.63462,1,0
1434,42,0,0,11,0,1,nonSMSA,0,Wholesale/Retail Trade,Laborers,,3.001791,1.099209111,24,2.429487,0.25,0,1,
1435,44,1,0,15,0,1,SMSA,0,Professional Services,Managers/admin,0,8.904991,2.186611906,40,13.69872,2.25,0,1,1
1436,43,0,0,16,1,1,SMSA,0,Professional Services,Other,0,4.259257,1.449094732,40,7.705128,0.9166667,7.705128,1,1
1437,44,0,0,18,1,0,SMSA,0,Professional Services,Other,1,13.00322,2.565197019,50,8.711538,4.833333,8.711538,1,0
1441,39,0,0,13,0,1,SMSA,1,Professional Services,Sales,0,5.636071,1.729187192,42,15.92308,2.5,0,1,1
1448,37,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,1,3.663445,1.298403962,40,7.538462,2.833333,0,1,0
1453,39,0,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,,38.70926,3.656078848,40,10.08974,2.75,0,1,
1462,42,0,0,16,1,0,SMSA,0,Professional Services,Professional/technical,0,8.671494,2.160041094,50,15.55769,4.333333,15.55769,0,1
1465,35,0,0,12,0,0,SMSA,0,Public Administration,Sales,,6.336553,1.84633493,40,15.01282,1.25,0,1,
1469,39,1,0,12,0,0,SMSA,1,Business/Repair Svc,Sales,,4.180602,1.430455255,15,16.84615,0.6666667,0,1,
1470,36,0,1,18,1,0,SMSA,1,Finance/Ins/Real Estate,Managers/admin,0,8.05153,2.085862135,50,11.44231,1.5,11.44231,1,1
1471,35,1,0,17,1,0,SMSA,0,Professional Services,Professional/technical,0,11.72303,2.461555283,25,15.0641,12.75,15.0641,1,1
1475,36,1,0,18,1,1,SMSA,0,Professional Services,Other,0,7.745568,2.047120809,40,13.82051,0,13.82051,0,1
1478,38,1,0,8,0,0,SMSA,1,Manufacturing,Operatives,,3.344482,1.207311824,40,5.653846,1.166667,0,1,
1479,43,1,0,16,1,0,SMSA,1,Professional Services,Other,0,6.634459,1.892277127,35,14.85256,13.66667,14.85256,1,1
1480,41,0,1,16,1,0,SMSA,1,Transport/Comm/Utility,Managers/admin,0,20.64412,3.027430533,45,19.05128,9,19.05128,1,1
1482,38,1,0,12,0,0,SMSA,1,Finance/Ins/Real Estate,Sales,0,5.104667,1.630155219,23,9.942307,4,0,1,1
1484,36,1,0,17,1,0,SMSA,0,Manufacturing,Managers/admin,0,16.25603,2.788463917,40,13.90385,7.083333,13.90385,1,1
1486,40,0,1,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,4.782608,1.564986004,32,13.53846,6.416667,0,1,1
1490,39,0,0,18,1,0,nonSMSA,0,Public Administration,Managers/admin,1,13.16424,2.577504062,40,16.01923,1.916667,16.01923,1,0
1492,39,0,0,12,0,0,nonSMSA,0,Manufacturing,Operatives,1,12.00768,2.485546445,40,14.40385,0.3333333,0,1,0
1494,38,1,0,12,0,0,SMSA,0,Manufacturing,Operatives,1,8.05153,2.085862135,40,16.13461,16,0,1,0
1499,35,1,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Sales,,4.911432,1.591565549,40,13.51923,3.833333,0,1,
1500,35,1,0,12,0,1,SMSA,1,Wholesale/Retail Trade,Service,,2.801002,1.02997721,40,11.92949,1.916667,0,1,
1505,43,0,0,16,1,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,0,8.518515,2.14224203,40,18.03846,9.5,18.03846,1,1
1506,38,1,0,13,0,1,SMSA,1,Finance/Ins/Real Estate,Sales,0,5.281802,1.664267327,40,6.628205,1.25,0,1,1
1507,40,0,1,18,1,1,nonSMSA,0,Manufacturing,Professional/technical,0,10.21739,2.324091171,40,14.28846,11.08333,14.28846,1,1
1508,35,1,0,17,1,0,SMSA,1,Professional Services,Professional/technical,0,10.94203,2.392611337,40,14.5641,13,14.5641,1,1
1515,44,1,0,16,1,0,SMSA,0,Professional Services,Sales,1,6.231882,1.829678374,25,4.403846,2.166667,4.403846,1,0
1519,44,1,0,16,1,0,nonSMSA,0,Public Administration,Sales,,4.598662,1.525765392,40,8.576923,0.9166667,8.576923,1,
1520,41,1,0,12,0,1,SMSA,1,Manufacturing,Managers/admin,0,11.88405,2.475197165,43,18.42308,7.166667,0,1,1
1522,36,1,0,12,0,0,SMSA,1,Business/Repair Svc,Sales,,5.434783,1.692819593,15,5.230769,0.25,0,1,
1523,36,1,0,12,0,0,SMSA,1,Finance/Ins/Real Estate,Managers/admin,0,6.441224,1.862718584,40,15.87821,12.83333,0,1,1
1525,43,1,0,12,0,0,SMSA,0,Professional Services,Laborers,,4.413701,1.484713567,35,7.769231,0.75,0,1,
1526,42,1,0,11,0,0,SMSA,0,Personal Services,Transport,0,3.301126,1.194263622,30,2.121795,0.75,0,1,1
1529,38,1,0,13,0,0,SMSA,1,Professional Services,Professional/technical,0,5.998387,1.7914906,40,17.13461,5,0,1,1
1530,38,0,0,10,0,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,0,11.19565,2.41552531,28,6.634615,4,0,1,1
1531,36,1,0,10,0,0,SMSA,1,Manufacturing,Clerical/unskilled,0,2.302737,0.834098415,35,4.076923,1.416667,0,1,1
1540,39,1,0,12,0,1,SMSA,1,Professional Services,Professional/technical,,9.197324,2.218912572,16,14.05769,5.583333,0,1,
1542,43,1,0,12,0,0,SMSA,1,Finance/Ins/Real Estate,Sales,0,4.388082,1.47889223,40,14.91667,4.416667,0,1,1
1543,43,1,0,18,1,0,nonSMSA,0,Professional Services,Professional/technical,1,10.45088,2.346686185,40,7.064102,3.833333,7.064102,1,0
1545,38,1,0,16,1,0,SMSA,1,Professional Services,Sales,0,4.420288,1.486204852,7,11.03846,1.333333,11.03846,1,1
1557,39,1,0,12,0,0,nonSMSA,0,Finance/Ins/Real Estate,Sales,0,5.611914,1.724891838,40,13.86539,0.75,0,1,1
1558,36,1,0,12,0,1,SMSA,1,Professional Services,Sales,0,4.887279,1.586635707,40,13,5.833333,0,1,1
1559,35,1,0,12,0,0,SMSA,0,Manufacturing,Sales,1,6.714973,1.904339809,40,17.48718,9.583333,0,1,0
1561,35,1,0,14,0,0,SMSA,0,Business/Repair Svc,Managers/admin,0,7.801928,2.054370883,40,11.07692,10.58333,0,1,1
1562,42,1,0,14,0,1,SMSA,1,Professional Services,Sales,0,6.223832,1.828385794,55,16.44231,4.25,0,1,1
1563,39,1,0,18,1,0,SMSA,1,Professional Services,Other,1,6.70692,1.903139829,60,13.4359,2.75,13.4359,1,0
1564,41,0,0,16,1,1,SMSA,1,Wholesale/Retail Trade,Sales,0,6.159419,1.817982455,40,12.57692,6.916667,12.57692,1,1
1565,39,0,0,13,0,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,0,12.38325,2.516344753,45,15.19231,1.416667,0,1,1
1566,39,0,0,14,0,0,nonSMSA,0,Professional Services,Sales,0,4.025765,1.392714955,40,11.1282,3.75,0,0,1
1572,40,0,0,12,0,0,nonSMSA,0,Manufacturing,Sales,,4.827484,1.574325421,40,16.48077,9.166667,0,1,
1577,41,1,0,15,0,0,SMSA,1,Personal Services,Sales,0,3.285022,1.189373349,24,6.23077,,0,0,1
1578,37,0,0,14,0,1,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,,38.70926,3.656078848,40,12.53846,1.583333,0,0,
1580,38,1,0,12,0,0,nonSMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,,5.852843,1.766927526,50,4.461538,1.25,0,1,
1582,40,1,0,18,1,0,SMSA,1,Professional Services,Other,1,15.09662,2.714470878,40,14.16667,8.75,14.16667,0,0
1583,39,1,0,17,1,0,SMSA,1,Professional Services,Other,0,6.634459,1.892277127,35,16.17308,9.75,16.17308,0,1
1585,36,1,0,12,0,0,SMSA,0,Finance/Ins/Real Estate,Sales,,4.703177,1.548238238,40,7.583333,0.6666667,0,0,
1588,43,1,0,13,0,0,nonSMSA,0,Ag/Forestry/Fisheries,Sales,0,4.025765,1.392714955,24,10.08333,0.1666667,0,1,1
1591,36,0,0,14,0,0,SMSA,0,Manufacturing,Sales,0,6.26409,1.834833326,42,8.942307,1.583333,0,1,1
1595,41,1,0,14,0,0,SMSA,0,Finance/Ins/Real Estate,Sales,0,7.536226,2.019721526,38,14.98077,7.416667,0,1,1
1596,39,1,0,12,0,0,SMSA,1,Professional Services,Sales,0,5.410626,1.688364798,32,20.59615,20.58333,0,1,1
1598,44,0,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,3.397743,1.223111388,36,7.564103,2.083333,0,1,1
1599,42,1,0,16,1,1,SMSA,0,Professional Services,Managers/admin,0,12.38325,2.516344753,50,18.42949,11.16667,18.42949,1,1
1600,42,1,0,11,0,0,SMSA,0,Personal Services,Operatives,0,3.623188,1.287354301,53,15.19872,3.416667,0,1,1
1603,45,1,0,7,0,0,nonSMSA,0,Professional Services,Laborers,0,3.711753,1.311504272,38,3.910256,1.75,0,1,1
1604,37,1,0,12,0,0,SMSA,1,Wholesale/Retail Trade,Sales,0,3.703702,1.30933286,40,7.038462,3.583333,0,1,1
1607,39,1,0,14,0,0,nonSMSA,0,Construction,Sales,0,8.05153,2.085862135,38,16.34615,1.333333,0,1,1
1613,38,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,0,4.669887,1.541134874,20,8.782051,2.833333,0,1,1
1614,42,1,0,12,0,1,SMSA,1,Entertainment/Rec Svc,Sales,0,3.344482,1.207311824,40,3.391026,1,0,1,1
1616,40,1,0,15,0,0,nonSMSA,0,Professional Services,Other,0,7.004828,1.946599626,22,10.42308,6.416667,0,1,1
1618,34,1,0,12,0,0,nonSMSA,0,Manufacturing,Operatives,0,4.750401,1.558229036,40,10.13462,9.583333,0,1,1
1620,45,0,0,12,0,0,nonSMSA,0,Professional Services,Sales,,2.491696,0.912963603,5,9.288462,,0,1,
1622,37,1,0,16,1,0,nonSMSA,0,Professional Services,Other,1,3.309176,1.196699216,20,14.03846,1.583333,14.03846,1,0
1623,41,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,0,4.549112,1.514932049,40,9.615385,6,0,1,1
1624,39,1,0,16,1,0,nonSMSA,0,Wholesale/Retail Trade,Sales,0,10.73268,2.373293292,15,10.57692,2.416667,10.57692,1,1
1625,37,1,0,16,1,0,nonSMSA,0,,Professional/technical,0,6.086955,1.806147957,40,8.570513,0.8333333,8.570513,1,1
1626,35,0,0,12,0,0,nonSMSA,0,Manufacturing,Operatives,0,3.985505,1.382664029,45,15.92308,10.25,0,1,1
1628,35,0,1,12,0,0,SMSA,0,Wholesale/Retail Trade,Sales,1,6.688963,1.900458855,10,7.980769,2,0,1,0
1630,39,0,0,12,0,0,nonSMSA,0,Finance/Ins/Real Estate,Laborers,,3.344482,1.207311824,3,12.13461,5,0,1,
1631,39,1,0,13,0,0,SMSA,0,Wholesale/Retail Trade,Sales,0,4.227053,1.44150506,32,10.61538,3.666667,0,1,1
1635,44,0,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Sales,0,3.220612,1.169571404,24,8.070513,2.666667,0,1,1
1636,40,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Laborers,0,4.227053,1.44150506,8,9.76282,0.5833333,0,1,1
1638,41,1,0,13,0,0,nonSMSA,0,Wholesale/Retail Trade,Clerical/unskilled,0,3.872784,1.353973628,26,7.647436,4.333333,0,1,1
1641,36,1,0,16,1,0,SMSA,1,Personal Services,Laborers,,3.051839,1.11574436,15,10.98077,0.9166667,10.98077,1,
1644,36,1,0,16,1,0,nonSMSA,0,Public Administration,Professional/technical,0,9.371979,2.23772428,38,18.26923,14.83333,18.26923,1,1
1645,35,1,0,12,0,0,nonSMSA,0,Professional Services,Sales,0,3.719806,1.313671516,40,10.69231,4.666667,0,1,1
1646,37,0,1,12,0,0,nonSMSA,0,Personal Services,Transport,0,2.657004,0.977199172,35,11.28846,3.416667,0,1,1
1647,37,1,0,12,0,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,0,3.985505,1.382664029,20,6.923077,3.75,0,1,1
1648,35,1,0,16,1,0,nonSMSA,0,Professional Services,Other,1,8.904991,2.186611906,40,14.82692,8.833333,14.82692,1,0
1649,42,1,0,16,1,1,SMSA,0,Business/Repair Svc,Professional/technical,,13.37793,2.593606334,36,16.03846,2.666667,16.03846,1,
1650,40,0,0,11,0,0,nonSMSA,0,Wholesale/Retail Trade,Farm laborers,0,2.858293,1.050224593,40,2.673077,0.1666667,0,1,1
1651,41,1,0,15,0,0,nonSMSA,0,Professional Services,Laborers,,5.351169,1.677315042,20,12.66026,0.3333333,0,1,
1653,35,1,0,12,0,0,SMSA,0,Professional Services,Managers/admin,0,9.734298,2.275655525,50,16.07051,10.5,0,1,1
1654,38,1,0,16,1,1,SMSA,0,Business/Repair Svc,Other,0,10.21739,2.324091171,50,16.83333,3,16.83333,1,1
1655,40,1,0,13,0,0,SMSA,0,Public Administration,Managers/admin,1,13.9694,2.636869223,45,19.55128,19.5,0,1,0
1656,40,0,1,12,0,0,SMSA,1,Professional Services,Laborers,1,6.779387,1.913886685,40,19.66667,19.66667,0,1,0
1659,41,0,1,17,1,0,SMSA,1,Professional Services,Professional/technical,0,12.971,2.562716096,40,16.32051,4.5,16.32051,1,1
1664,38,1,0,17,1,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,0,20.64412,3.027430533,60,13.46795,8.333333,13.46795,1,1
1669,35,1,0,14,0,0,nonSMSA,0,Professional Services,Professional/technical,0,10.10467,2.312997693,36,16.0641,13.41667,0,1,1
1671,35,0,1,9,0,0,nonSMSA,0,Personal Services,Laborers,0,3.344482,1.207311824,32,1.326923,0.0833333,0,1,1
1674,42,1,0,12,0,0,SMSA,1,Public Administration,Managers/admin,0,6.578098,1.883745646,40,15.17308,3.75,0,1,1
1675,42,0,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Sales,0,4.830918,1.575036512,40,10.82692,9.833333,0,1,1
1683,35,1,0,17,1,0,SMSA,0,Professional Services,Sales,0,18.19645,2.90122652,2,11.80769,3.333333,11.80769,1,1
1686,35,1,0,14,0,0,nonSMSA,0,Professional Services,Professional/technical,0,6.441224,1.862718584,2,8.692307,6.083333,0,1,1
1688,36,0,0,12,0,0,nonSMSA,0,Professional Services,Laborers,,5.016723,1.612776932,32,9.192307,3.5,0,1,
1689,39,0,0,12,0,0,nonSMSA,0,Manufacturing,Operatives,,2.801002,1.02997721,40,13.75,0.4166667,0,1,
1690,37,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,,3.344482,1.207311824,30,12.11539,2.833333,0,1,
1691,35,1,0,12,0,0,nonSMSA,0,Professional Services,Professional/technical,0,5.917873,1.777977094,38,18.73077,11.75,0,1,1
1693,40,1,0,12,0,0,nonSMSA,0,Professional Services,Other,0,5.072463,1.623826498,30,8.756411,1.75,0,1,1
1697,37,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,,3.099125,1.131119814,60,14.44872,1.75,0,1,
1701,36,1,0,11,0,0,SMSA,0,Construction,Sales,0,5.233495,1.655079315,40,10.15385,0.75,0,1,1
1702,35,1,0,12,0,0,nonSMSA,0,Wholesale/Retail Trade,Sales,,2.801002,1.02997721,30,6.576923,0.1666667,0,1,
1703,45,0,0,13,0,0,SMSA,1,Finance/Ins/Real Estate,Sales,0,4.879225,1.584986396,40,12.96154,1.75,0,1,1
1707,38,1,0,9,0,0,nonSMSA,0,Manufacturing,Operatives,0,7.149757,1.96707837,39,11.46154,4.416667,0,1,1
1710,40,0,0,18,1,0,nonSMSA,0,Professional Services,Professional/technical,0,8.599029,2.15164929,45,14.83333,14.83333,14.83333,1,1
1712,40,1,0,13,0,0,nonSMSA,0,Manufacturing,Operatives,0,3.663445,1.298403962,40,8.826923,2.416667,0,1,1
1713,38,1,0,8,0,0,SMSA,1,Wholesale/Retail Trade,Laborers,,6.038648,1.798180146,40,6.346154,1.583333,0,1,
1714,35,1,0,14,0,0,nonSMSA,0,Finance/Ins/Real Estate,Sales,,5.748328,1.74890903,40,13.17308,6.916667,0,1,
1716,35,1,0,16,1,0,SMSA,1,Professional Services,Professional/technical,,6.688963,1.900458855,40,14.97436,7.833333,14.97436,1,
