id,wage,lwage,educ,exper,exper2,female,urban
561,21.02,3.0455,15,23.5,554.03,0,0
562,12.01,2.4861,13,1.9,3.7,0,1
563,25.36,3.2333,16,22.0,486.05,1,0
564,22.88,3.1304,14,16.1,259.94,1,1
565,27.11,3.2997,17,17.7,312.05,1,0
566,16.22,2.786,12,11.2,126.27,1,1
567,27.72,3.3223,14,16.4,268.39,1,0
568,8.07,2.0885,10,3.0,8.84,1,0
569,28.1,3.3357,15,12.3,152.35,0,0
570,11.81,2.4686,16,13.8,189.53,1,0
571,11.44,2.4375,13,13.1,172.76,0,1
572,25.65,3.2444,16,17.8,315.67,0,1
573,6.73,1.9065,9,3.7,13.38,1,0
574,24.29,3.1901,16,11.8,140.01,0,1
575,7.41,2.0027,13,11.7,136.27,0,0
576,12.04,2.4884,15,0.0,0.0,1,0
577,23.52,3.158,14,10.5,110.74,0,1
578,20.21,3.0064,14,7.5,56.23,1,1
579,19.16,2.953,14,27.7,767.22,0,1
580,38.51,3.6509,15,23.6,558.83,1,1
581,16.21,2.7858,11,13.2,174.64,0,1
582,16.25,2.7883,16,10.4,108.96,0,1
583,9.31,2.2311,13,7.3,53.23,1,0
584,20.09,3.0002,15,10.1,102.96,1,0
585,13.41,2.5961,14,11.8,138.83,0,0
586,18.02,2.8917,14,16.0,255.7,1,1
587,22.24,3.102,13,10.2,104.07,1,0
588,16.52,2.8045,13,9.1,83.61,0,1
589,17.9,2.8847,15,23.7,561.8,0,1
590,9.69,2.2706,10,12.7,162.41,1,1
591,10.89,2.3876,13,9.8,95.7,1,0
592,17.25,2.8476,18,6.7,45.08,1,0
593,9.73,2.2748,11,6.0,36.59,0,1
594,7.26,1.983,11,14.4,208.73,0,0
595,16.9,2.8273,16,16.7,279.68,0,0
596,15.19,2.721,13,14.0,196.16,0,0
597,21.98,3.09,18,15.1,226.62,0,1
598,17.49,2.8614,15,7.3,52.89,1,1
599,6.46,1.8652,10,0.3,0.09,1,0
600,8.33,2.1195,12,0.0,0.0,0,1
601,14.33,2.6621,14,8.2,67.48,1,1
602,9.72,2.2745,15,9.0,80.7,1,0
603,21.78,3.0808,15,10.2,104.04,0,0
604,10.56,2.3572,14,14.0,195.12,0,1
605,12.72,2.5434,13,1.0,0.99,0,0
606,20.93,3.0411,14,10.6,111.85,1,1
607,18.49,2.9171,14,10.8,117.0,1,1
608,14.71,2.6886,15,28.0,783.18,1,0
609,12.88,2.5556,16,6.0,35.51,0,1
610,10.81,2.3808,15,2.6,6.84,0,0
611,14.88,2.7,15,15.9,253.6,1,0
612,8.07,2.088,14,0.0,0.0,1,0
613,10.4,2.3419,12,8.7,76.25,1,1
614,8.08,2.0899,12,22.3,495.49,0,0
615,12.43,2.5201,12,16.0,256.37,1,1
616,12.66,2.5388,17,2.8,8.03,0,0
617,20.16,3.0039,16,6.4,40.95,0,1
618,14.3,2.6602,17,0.0,0.0,0,0
619,17.51,2.8625,17,18.7,349.24,1,1
620,19.43,2.9668,18,16.1,259.22,1,0
621,6.66,1.8965,12,5.8,33.72,1,0
622,28.13,3.337,17,12.9,167.49,1,0
623,12.63,2.5363,13,14.0,195.03,0,0
624,8.53,2.1433,14,14.5,208.89,1,1
625,15.85,2.7634,16,18.1,326.94,0,1
626,11.85,2.4725,11,6.9,47.24,0,0
627,18.75,2.9313,12,18.2,331.25,1,1
628,33.14,3.5006,10,16.7,279.34,0,0
629,18.41,2.9129,14,22.5,508.37,1,0
630,14.4,2.667,16,14.9,221.1,0,0
631,6.81,1.919,12,1.4,1.93,1,1
632,25.21,3.2271,18,14.3,204.42,1,0
633,20.53,3.0219,14,13.8,189.14,0,1
634,13.76,2.6217,14,7.5,56.19,1,0
635,10.9,2.3889,14,9.1,82.83,0,0
636,11.25,2.4203,11,11.8,139.4,1,0
637,19.97,2.9942,14,17.9,320.82,0,1
638,18.86,2.937,11,9.3,86.16,0,0
639,14.49,2.6733,17,11.8,138.09,1,1
640,10.88,2.3866,12,15.4,238.33,1,0
641,17.58,2.8666,12,10.1,101.61,0,1
642,11.48,2.4409,14,4.2,17.55,1,0
643,21.01,3.0452,14,10.7,115.27,0,0
644,21.44,3.0653,13,15.3,235.4,1,0
645,12.31,2.5102,12,11.7,137.86,1,1
646,15.35,2.731,11,11.0,120.7,1,1
647,12.06,2.4901,13,11.9,142.41,1,1
648,21.47,3.0666,17,20.7,427.02,0,0
649,9.99,2.3021,12,12.7,162.54,1,0
650,6.17,1.8203,12,18.8,352.63,0,1
651,15.59,2.7468,15,10.0,99.09,1,1
652,18.04,2.8924,15,22.3,498.91,0,1
653,8.35,2.1228,13,18.1,327.06,1,1
654,21.68,3.0764,15,16.1,259.74,1,0
655,20.91,3.0403,11,12.0,144.21,0,1
656,18.65,2.9257,11,5.2,26.94,0,0
657,10.79,2.3782,13,0.6,0.35,0,1
658,13.23,2.5825,14,9.8,96.87,1,0
659,11.92,2.4784,14,12.5,156.33,1,0
660,12.51,2.5266,14,14.8,218.12,0,1
661,13.14,2.5759,17,3.5,12.28,1,0
662,11.21,2.4168,12,16.9,285.61,1,0
663,38.03,3.6383,15,14.8,219.58,0,0
664,11.19,2.4151,13,7.3,53.44,1,1
665,30.4,3.4144,13,13.4,180.09,1,1
666,25.58,3.2419,16,20.5,419.03,1,0
667,17.47,2.8606,13,10.6,111.87,0,1
668,14.62,2.6823,16,4.5,20.39,1,0
669,16.33,2.7932,13,18.6,346.67,0,0
670,13.26,2.5844,16,0.5,0.24,0,0
671,15.49,2.7401,17,16.8,281.44,0,0
672,8.47,2.1366,12,6.5,42.31,1,0
673,18.15,2.8987,13,24.5,601.5,0,1
674,24.98,3.2182,12,13.9,191.84,1,0
675,11.45,2.4378,11,8.2,67.16,1,1
676,17.83,2.8809,14,6.2,38.74,0,1
677,23.81,3.1701,14,11.9,140.64,0,1
678,13.58,2.6086,10,17.7,312.48,0,0
679,9.29,2.2284,14,3.7,13.94,1,1
680,17.76,2.8771,15,13.8,189.51,1,1
681,11.74,2.4629,16,13.3,177.43,1,0
682,12.77,2.5468,13,15.0,223.91,1,1
683,14.12,2.6474,16,18.6,345.77,1,1
684,16.64,2.8121,14,10.8,116.59,1,1
685,9.33,2.2336,12,5.7,32.18,1,1
686,12.21,2.5022,17,9.5,89.35,1,1
687,12.9,2.557,14,3.5,12.29,0,0
688,30.53,3.4186,11,24.4,593.41,0,0
689,19.19,2.9544,12,18.8,352.32,0,0
690,25.59,3.2421,14,7.7,58.63,1,1
691,20.39,3.0148,15,10.5,111.14,0,1
692,12.79,2.549,13,12.7,160.5,0,0
693,8.82,2.1771,10,23.7,560.1,0,1
694,8.89,2.1853,14,8.9,78.42,0,0
695,8.21,2.1053,14,6.7,45.22,1,1
696,14.79,2.6941,18,4.4,19.51,0,1
697,6.88,1.9282,12,0.0,0.0,1,1
698,24.59,3.2022,19,13.6,184.91,0,1
699,14.94,2.7038,10,13.5,183.51,0,1
700,26.22,3.2667,11,29.9,895.1,0,0
701,10.43,2.345,14,10.9,119.07,1,1
702,14.43,2.6696,13,12.0,144.65,1,0
703,11.48,2.4406,14,15.9,251.32,1,0
704,20.81,3.0354,16,11.0,121.88,1,0
705,27.22,3.3039,14,21.0,440.17,1,0
706,13.97,2.6367,14,16.1,260.05,0,0
707,11.9,2.4763,13,17.7,313.21,1,1
708,17.23,2.8467,10,17.1,293.83,1,0
709,12.62,2.535,18,20.8,432.16,1,0
710,14.18,2.6515,14,22.7,514.78,1,1
711,31.55,3.4517,16,19.5,382.07,0,0
712,13.53,2.605,15,19.5,380.35,0,0
713,10.21,2.3235,9,13.6,185.02,1,1
714,23.35,3.1506,14,10.9,119.75,0,1
715,33.2,3.5027,16,15.9,253.79,0,0
716,8.4,2.1277,14,6.4,41.09,1,0
717,10.2,2.3227,14,14.0,195.99,0,0
718,3.31,1.1956,15,20.4,417.78,1,1
719,14.57,2.6792,12,9.1,82.89,1,1
720,14.58,2.6796,16,9.1,82.12,1,1
721,14.97,2.706,12,7.7,58.68,1,1
722,11.78,2.4662,16,3.6,12.91,1,1
723,9.17,2.2156,10,3.2,10.39,1,0
724,35.39,3.5663,14,27.0,726.85,0,1
725,8.72,2.1658,12,2.8,8.04,0,1
726,6.61,1.888,12,3.5,12.17,1,0
727,33.8,3.5203,15,14.9,222.48,1,0
728,15.98,2.7712,17,12.8,163.22,1,1
729,17.61,2.8685,9,19.2,368.28,0,1
730,14.65,2.6846,13,9.4,88.51,0,1
731,25.06,3.2213,16,9.9,98.3,0,1
732,32.5,3.4814,16,19.3,373.51,0,1
733,12.61,2.5348,13,10.9,117.96,1,0
734,26.68,3.2841,15,20.7,428.52,1,0
735,6.88,1.9279,13,2.5,6.23,0,0
736,13.26,2.5848,15,5.1,26.29,1,0
737,11.16,2.4127,15,0.0,0.0,1,1
738,11.0,2.3975,11,16.9,285.4,0,1
739,14.84,2.6972,13,9.1,83.0,0,0
740,13.23,2.5825,9,19.8,392.91,0,1
741,9.26,2.2255,11,9.3,87.17,1,1
742,6.78,1.9135,12,7.9,62.56,0,1
743,11.87,2.4739,14,12.9,165.14,1,1
744,26.42,3.2743,18,13.3,177.35,0,1
745,10.72,2.3725,12,17.0,288.3,0,1
746,21.68,3.0765,13,12.7,160.76,1,1
747,11.66,2.456,13,19.1,363.32,1,1
748,20.35,3.0129,11,18.9,356.45,0,0
749,10.6,2.3608,14,11.7,136.17,0,1
750,19.16,2.9528,13,15.2,231.39,1,1
751,14.89,2.7005,14,10.8,116.55,0,1
752,13.06,2.5698,11,12.3,151.64,1,1
753,14.02,2.6404,11,7.7,59.27,0,1
754,27.81,3.3254,18,8.0,64.24,0,0
755,18.44,2.9145,15,17.3,300.94,1,1
756,35.88,3.5802,17,27.8,771.5,1,1
757,16.91,2.828,14,24.4,596.05,0,1
758,10.75,2.3751,10,17.5,305.26,0,1
759,19.39,2.9646,14,11.5,131.1,1,1
760,9.46,2.2473,11,23.8,567.87,1,0
761,17.86,2.8824,14,11.9,141.95,0,1
762,8.52,2.1422,13,1.4,1.99,0,1
763,17.18,2.8437,11,20.9,436.29,0,1
764,23.38,3.152,16,13.6,183.83,1,1
765,10.63,2.364,12,0.0,0.0,1,0
766,8.73,2.1662,14,9.8,95.35,1,0
767,6.99,1.9446,12,2.3,5.1,1,0
768,22.31,3.1052,16,10.5,110.41,0,0
769,11.43,2.4364,13,7.4,54.32,1,1
770,14.01,2.6397,17,12.3,151.31,1,0
771,18.57,2.9215,13,17.1,291.08,1,0
772,21.05,3.0467,16,15.7,245.73,0,1
773,5.17,1.6422,13,22.4,502.07,1,1
774,7.03,1.9499,13,9.0,80.38,0,0
775,14.85,2.6983,11,20.6,424.95,1,1
776,23.04,3.1374,17,11.2,125.9,0,0
777,12.72,2.5428,11,14.9,220.95,0,1
778,21.89,3.0859,18,18.1,328.76,1,1
779,19.38,2.9643,17,6.6,44.21,0,1
780,11.26,2.4211,11,2.7,7.47,0,1
781,14.22,2.6544,11,6.9,47.96,1,1
782,6.94,1.9372,14,13.7,186.85,1,0
783,24.21,3.1868,17,13.9,194.19,0,0
784,14.48,2.6727,15,9.5,90.77,0,0
785,24.18,3.1854,14,15.9,253.77,0,1
786,9.25,2.2249,13,5.0,24.97,1,0
787,12.0,2.4849,14,15.2,231.55,0,1
788,21.26,3.0568,13,9.7,94.42,1,0
789,14.97,2.7057,14,12.8,163.83,1,1
790,15.56,2.7449,14,11.0,121.42,1,1
791,12.71,2.5421,12,8.8,77.64,0,0
792,14.63,2.6833,13,5.5,30.77,0,1
793,24.98,3.218,12,26.1,682.51,0,1
794,29.18,3.3734,16,16.6,274.31,0,0
795,10.05,2.3076,13,8.4,71.18,1,1
796,13.63,2.6126,13,18.0,323.46,1,1
797,30.32,3.4118,17,16.8,282.51,1,1
798,9.35,2.2357,14,0.0,0.0,0,1
799,13.77,2.6225,18,5.9,34.74,1,1
800,16.03,2.7745,14,23.3,545.11,0,1
801,9.22,2.2214,13,14.7,216.63,1,1
802,23.91,3.1741,14,3.8,14.8,0,0
803,7.57,2.0237,13,10.8,116.92,0,1
804,16.06,2.7761,13,19.2,369.24,1,1
805,33.02,3.4973,16,22.7,513.81,1,1
806,16.01,2.7731,12,11.1,123.27,0,0
807,19.95,2.9931,15,15.2,231.06,1,1
808,10.64,2.3649,14,2.4,5.95,1,0
809,16.76,2.819,12,11.0,121.55,1,1
810,21.54,3.0697,14,26.5,700.49,0,0
811,15.79,2.7595,14,16.0,256.81,1,1
812,19.24,2.9572,15,5.9,35.11,0,1
813,12.68,2.5398,13,13.6,185.77,0,0
814,14.77,2.6928,15,16.3,266.39,0,1
815,15.1,2.715,12,21.9,478.43,0,1
816,13.44,2.5984,16,7.7,58.65,0,1
817,16.49,2.8028,10,17.0,289.75,1,1
818,7.97,2.0752,11,9.7,94.84,1,0
819,24.91,3.2154,14,25.5,652.72,1,1
820,14.52,2.6753,13,9.6,91.92,0,0
821,9.4,2.241,10,16.0,256.65,0,1
822,17.81,2.88,16,5.3,28.6,0,0
823,15.58,2.7462,13,9.7,93.64,1,0
824,17.05,2.8359,12,22.2,492.0,1,1
825,8.97,2.194,12,19.3,372.0,1,0
826,30.21,3.4082,13,12.4,153.31,0,1
827,20.44,3.0175,14,15.8,249.83,0,0
828,15.14,2.7175,16,12.1,145.95,0,0
829,7.2,1.9747,16,12.4,153.88,1,1
830,9.62,2.2639,9,22.8,518.51,1,1
831,26.77,3.2873,15,15.3,234.69,1,1
832,13.23,2.5826,14,18.0,325.53,0,0
833,7.84,2.059,13,12.6,159.37,1,1
834,14.4,2.6675,14,13.5,180.94,1,1
835,28.43,3.3474,15,20.0,398.62,0,1
836,8.64,2.1565,12,3.6,13.19,0,0
837,23.81,3.1701,12,18.0,322.36,0,0
838,20.12,3.0017,14,17.0,290.29,1,1
839,13.85,2.628,12,11.1,124.26,0,1
840,9.69,2.271,12,12.3,151.17,1,0
841,14.22,2.6545,14,14.0,197.35,0,0
842,17.87,2.8829,17,3.3,11.04,1,0
843,8.56,2.1466,15,0.8,0.58,0,0
844,8.52,2.1427,14,13.2,175.38,1,0
845,11.91,2.4772,12,13.0,168.2,1,1
846,8.92,2.1878,11,0.0,0.0,0,1
847,7.93,2.07,10,21.1,445.15,0,1
848,11.39,2.4326,13,16.3,266.14,0,1
849,35.21,3.5613,15,13.6,185.46,1,1
850,6.0,1.7922,9,6.6,43.94,0,0
851,9.7,2.2719,18,0.0,0.0,1,0
852,19.71,2.9809,14,8.2,67.94,0,1
853,18.95,2.9418,11,20.6,426.2,0,0
854,10.75,2.3753,14,15.1,227.97,1,0
855,20.46,3.0185,16,16.6,274.72,1,0
856,22.84,3.1287,15,10.5,109.56,1,1
857,8.82,2.1766,11,9.8,95.68,1,0
858,28.5,3.35,13,10.8,117.18,1,1
859,24.54,3.2005,17,12.5,155.76,1,1
860,21.23,3.0555,16,10.6,111.8,0,1
861,17.24,2.8474,15,24.6,604.53,1,0
862,21.56,3.071,13,11.1,123.72,1,1
863,11.58,2.449,14,3.0,8.92,0,1
864,5.91,1.776,11,12.9,166.63,0,0
865,8.11,2.0936,9,15.3,233.04,0,0
866,9.64,2.2661,11,7.4,54.89,1,0
867,15.24,2.7237,12,15.4,237.9,0,0
868,14.02,2.6401,12,8.5,72.68,0,1
869,7.72,2.0443,12,0.0,0.0,0,0
870,8.16,2.0986,12,4.5,20.35,1,1
871,34.53,3.5418,15,23.7,563.02,1,1
872,33.21,3.5028,15,18.1,329.41,0,0
873,10.5,2.3511,13,15.0,226.28,0,0
874,16.84,2.8239,15,18.4,337.79,0,1
875,8.96,2.1923,14,20.6,425.39,0,0
876,15.72,2.7551,14,6.4,41.55,0,1
877,8.88,2.1833,9,0.2,0.06,0,1
878,10.56,2.3569,14,5.6,31.06,1,1
879,12.05,2.4891,14,20.5,420.9,1,0
880,15.74,2.7564,13,18.1,327.84,0,1
881,14.61,2.6815,14,1.6,2.72,0,1
882,17.18,2.8438,14,21.6,465.28,0,0
883,18.0,2.8901,16,15.2,230.65,0,1
884,18.78,2.933,15,8.0,64.3,0,0
885,17.56,2.8654,14,29.7,879.57,0,0
886,25.24,3.2283,14,14.5,208.84,0,0
887,9.88,2.2904,11,12.4,152.73,1,0
888,12.51,2.5266,16,8.3,69.47,1,0
889,18.58,2.922,15,17.2,295.35,1,0
890,26.76,3.2868,15,15.9,252.21,1,1
891,17.15,2.8421,12,26.2,688.52,1,1
892,28.49,3.3495,12,11.9,140.86,0,0
893,20.05,2.9985,16,14.0,195.61,0,0
894,8.33,2.1204,10,12.6,158.57,1,1
895,12.08,2.4912,13,9.8,96.59,0,0
896,9.6,2.2623,11,11.0,121.39,1,1
897,10.85,2.3838,12,14.2,200.26,1,0
898,16.29,2.7905,15,16.1,257.72,0,1
899,11.14,2.4102,13,2.1,4.44,1,1
900,20.67,3.0285,17,17.7,311.56,0,0
901,28.13,3.337,12,22.3,495.93,0,1
902,15.26,2.7253,14,22.6,511.22,0,0
903,29.4,3.381,14,26.0,673.98,1,0
904,8.44,2.1333,14,2.6,6.71,1,1
905,7.42,2.0039,10,18.7,351.48,0,1
906,12.59,2.533,14,14.7,214.94,0,1
907,18.19,2.9009,15,11.7,136.91,0,1
908,5.87,1.7695,12,0.0,0.0,1,1
909,12.69,2.5407,15,10.9,118.35,0,1
910,32.23,3.4728,16,18.9,358.07,1,1
911,14.86,2.6985,15,8.7,76.52,1,1
912,10.07,2.3099,12,19.3,372.98,0,1
913,11.63,2.4536,11,8.2,66.87,0,1
914,16.13,2.7804,13,13.8,190.65,1,0
915,12.73,2.5438,12,7.4,54.7,0,1
916,18.09,2.8954,15,5.6,30.84,0,1
917,14.76,2.6919,13,9.9,97.79,1,1
918,18.15,2.8984,14,11.0,120.04,1,1
919,10.66,2.3667,12,18.0,323.8,1,0
920,13.42,2.5971,17,10.0,100.18,1,1
921,11.14,2.4107,11,16.2,263.39,0,0
922,11.1,2.4065,12,13.7,186.76,0,0
923,9.71,2.2735,13,5.4,29.41,1,1
924,19.66,2.9784,15,7.7,58.68,1,0
925,16.83,2.8229,13,18.5,341.66,1,0
926,15.28,2.7263,15,7.9,62.24,1,1
927,13.7,2.6174,13,8.0,64.1,0,0
928,17.45,2.8595,10,8.6,73.39,1,1
929,8.35,2.1227,13,1.0,0.97,0,0
930,15.23,2.7236,15,15.2,230.88,1,1
931,12.25,2.5055,14,12.1,145.8,0,0
932,8.78,2.172,10,5.3,27.58,0,1
933,10.32,2.3342,12,7.5,56.13,1,1
934,19.21,2.9555,14,15.6,242.84,1,1
935,6.43,1.8602,9,2.6,6.96,1,1
936,13.51,2.6031,13,14.0,197.04,1,0
937,8.26,2.1116,15,11.9,142.29,1,1
938,18.5,2.9177,15,15.3,235.35,1,0
939,18.33,2.9087,13,16.2,263.67,1,1
940,11.93,2.4794,16,3.4,11.57,1,1
941,24.25,3.1885,12,11.9,142.1,0,0
942,10.54,2.3553,14,0.0,0.0,0,0
943,8.74,2.1677,12,9.7,93.24,1,0
944,14.58,2.6799,13,19.2,369.69,1,0
945,6.92,1.934,12,8.4,71.11,0,0
946,15.28,2.7264,10,19.2,370.02,0,0
947,22.65,3.1202,14,19.2,368.93,0,1
948,9.35,2.2349,12,3.9,15.12,1,0
949,15.27,2.7257,13,12.2,148.47,0,1
950,20.44,3.0176,9,27.9,776.69,0,0
951,5.19,1.6474,9,9.5,89.89,0,0
952,17.14,2.8414,17,21.2,447.42,1,1
953,9.58,2.2601,16,12.5,157.21,0,1
954,9.13,2.211,13,16.8,280.62,1,0
955,16.75,2.8181,14,13.9,193.81,1,0
956,10.05,2.308,12,5.8,33.17,1,1
957,16.12,2.7801,14,4.6,21.44,0,1
958,9.82,2.2842,13,26.7,714.64,1,0
959,11.98,2.4832,13,11.3,128.19,1,1
960,14.19,2.6526,11,6.8,46.17,0,1
961,24.6,3.2027,14,11.8,138.76,1,1
962,10.88,2.3874,9,15.2,230.18,0,1
963,9.65,2.2667,11,24.9,617.83,0,0
964,10.37,2.3391,13,5.8,33.07,0,1
965,14.43,2.6695,14,4.9,23.53,0,0
966,13.75,2.6209,12,13.9,193.18,0,1
967,11.56,2.4472,14,14.8,217.71,1,0
968,15.31,2.7284,11,12.2,149.38,0,0
969,13.99,2.6381,10,10.2,103.81,0,1
970,6.24,1.8308,9,0.0,0.0,0,0
971,18.27,2.9052,14,16.4,269.05,0,1
972,21.36,3.0613,18,20.6,425.51,0,0
973,9.21,2.22,12,6.5,42.56,1,0
974,8.81,2.1758,13,0.0,0.0,1,1
975,36.32,3.5923,15,17.0,289.16,1,0
976,12.53,2.5283,14,9.6,92.42,0,1
977,21.18,3.0532,14,14.4,207.78,1,1
978,18.91,2.9397,14,25.4,646.96,1,1
979,10.56,2.3574,12,13.9,193.98,1,1
980,22.79,3.1262,19,3.7,13.5,1,1
981,13.38,2.5937,14,11.8,138.97,0,1
982,10.77,2.3771,15,1.0,1.09,1,1
983,13.67,2.6155,14,5.3,28.45,1,1
984,13.51,2.6037,13,18.7,350.3,1,1
985,31.06,3.4358,13,21.8,474.09,0,0
986,8.07,2.0881,16,7.5,55.98,1,0
987,19.18,2.9539,14,11.8,139.6,0,1
988,13.2,2.58,15,4.4,18.93,0,0
989,16.31,2.7917,13,16.0,256.67,1,1
990,11.34,2.428,12,14.0,195.51,0,0
991,9.18,2.2165,12,11.5,132.3,0,1
992,21.54,3.07,13,15.9,252.16,0,1
993,15.73,2.7559,15,14.3,205.88,1,1
994,18.94,2.9415,13,13.2,174.24,1,1
995,14.84,2.6973,11,14.2,200.82,0,1
996,6.21,1.8263,11,11.2,126.22,1,1
997,13.4,2.5951,16,2.9,8.55,0,1
998,19.92,2.9915,14,9.6,92.51,1,0
999,11.56,2.4478,12,6.9,46.96,0,1
1000,26.53,3.2782,13,14.3,204.12,0,0
1001,20.0,2.9958,13,14.4,207.25,1,1
1002,54.34,3.9952,19,17.5,306.37,0,0
1003,20.28,3.0098,16,16.9,285.18,0,0
1004,13.7,2.6172,14,8.4,70.78,0,1
1005,24.44,3.1963,16,14.1,200.06,1,0
1006,14.0,2.6388,13,23.8,565.05,0,1
1007,11.71,2.4603,17,25.6,655.91,0,1
1008,8.75,2.1686,13,5.8,33.9,0,0
1009,9.88,2.2901,13,12.1,145.76,1,1
1010,17.53,2.8639,16,0.7,0.49,0,0
1011,6.38,1.8536,14,20.1,403.86,1,0
1012,10.78,2.3776,12,0.0,0.0,0,0
1013,9.92,2.2948,13,13.0,170.22,0,1
1014,11.37,2.4308,16,1.2,1.53,0,1
1015,10.35,2.3373,15,13.0,168.68,1,1
1016,21.88,3.0854,14,14.0,196.87,1,0
1017,13.2,2.5802,16,25.5,650.9,1,0
1018,17.79,2.8786,17,6.2,37.93,0,0
1019,15.24,2.7236,14,15.3,233.21,1,1
1020,23.67,3.1643,18,13.6,184.76,1,1
1021,15.13,2.7165,11,7.8,60.11,1,1
1022,15.74,2.7565,12,14.3,204.96,0,1
1023,33.25,3.504,14,19.0,362.9,1,0
1024,15.41,2.7347,14,9.8,95.41,1,1
1025,22.41,3.1094,12,21.8,475.5,0,1
1026,11.76,2.4644,9,14.4,208.15,1,0
1027,7.5,2.0143,13,1.6,2.51,1,0
1028,8.1,2.0922,11,9.4,87.96,0,1
1029,10.57,2.3581,15,0.0,0.0,1,0
1030,17.19,2.8446,16,13.5,181.68,0,1
1031,8.18,2.1014,9,18.1,328.77,0,1
1032,30.49,3.4174,16,9.9,98.4,0,0
1033,15.95,2.7696,14,15.7,247.94,1,1
1034,7.65,2.0353,16,0.0,0.0,0,1
1035,10.64,2.3643,15,0.0,0.0,0,1
1036,13.26,2.5848,12,11.5,132.87,0,1
1037,12.5,2.5255,17,6.9,48.14,1,1
1038,16.35,2.7942,12,17.6,309.52,0,0
1039,15.06,2.7121,13,23.9,573.45,0,1
1040,11.44,2.4372,12,6.3,39.3,0,1
1041,11.53,2.445,13,23.0,529.41,0,0
1042,12.83,2.5522,10,12.6,157.92,0,0
1043,10.34,2.3363,16,3.9,15.33,1,1
1044,18.24,2.9039,15,7.6,58.46,0,0
1045,15.66,2.7509,15,2.7,7.53,1,1
1046,13.33,2.5899,15,7.8,60.33,0,1
1047,22.78,3.1259,15,20.2,409.95,1,1
1048,17.34,2.8529,12,21.4,459.98,1,1
1049,12.57,2.5313,14,11.0,121.49,0,0
1050,8.59,2.1507,15,3.7,13.79,1,1
1051,8.68,2.1606,9,13.2,175.0,0,0
1052,16.86,2.8249,14,14.3,203.09,0,1
1053,11.42,2.4355,15,8.1,66.02,0,1
1054,28.86,3.3625,15,17.7,313.71,0,1
1055,8.21,2.1057,12,21.3,454.88,0,0
1056,16.17,2.7833,15,3.7,13.87,0,0
1057,16.38,2.7962,19,14.1,198.19,1,1
1058,9.43,2.2442,15,8.0,64.3,0,0
1059,13.82,2.626,10,3.2,10.11,0,1
1060,28.43,3.3474,15,13.9,192.08,0,1
1061,11.34,2.4283,10,7.3,53.26,0,0
1062,9.34,2.2343,12,3.6,12.67,0,1
1063,24.55,3.2005,16,14.9,222.55,0,0
1064,11.1,2.407,12,11.8,138.56,1,0
1065,20.36,3.0137,16,16.0,257.02,0,0
1066,23.81,3.1703,13,11.9,142.5,0,0
1067,21.19,3.0536,14,10.6,112.5,0,1
1068,15.13,2.7166,13,14.0,196.69,0,1
1069,9.5,2.2517,12,6.5,41.86,1,1
1070,22.17,3.0989,15,13.5,182.44,1,1
1071,8.29,2.1145,11,0.0,0.0,0,1
1072,30.19,3.4074,12,14.7,214.9,1,1
1073,28.48,3.3492,18,18.6,344.3,0,1
1074,20.74,3.0322,14,16.9,286.26,0,1
1075,23.6,3.1614,16,6.3,39.77,0,0
1076,8.09,2.0908,13,6.2,38.17,1,0
1077,12.93,2.5595,16,16.2,263.95,1,1
1078,18.73,2.9299,13,8.0,64.76,0,1
1079,12.15,2.4975,12,6.2,38.68,0,0
1080,8.84,2.1796,13,5.4,29.47,0,1
1081,15.29,2.7275,15,3.8,14.69,0,0
1082,16.49,2.8027,15,17.1,291.19,1,0
1083,10.05,2.3071,12,15.4,237.54,1,1
1084,5.63,1.7284,12,11.1,123.2,1,0
1085,30.83,3.4286,14,16.3,266.96,0,1
1086,15.36,2.7317,14,14.3,203.29,1,1
1087,10.61,2.3615,12,1.9,3.53,0,1
1088,11.09,2.4064,15,5.9,34.35,1,0
1089,10.15,2.317,14,3.6,12.82,0,0
1090,8.47,2.1368,12,4.2,18.0,1,0
1091,12.61,2.5343,13,7.2,51.98,1,1
1092,12.81,2.5505,15,9.3,86.42,1,1
1093,14.53,2.676,11,4.5,20.15,0,1
1094,21.68,3.0766,14,9.2,84.66,0,1
1095,20.95,3.042,15,15.3,235.32,1,1
1096,19.0,2.9446,15,20.7,428.71,0,1
1097,10.22,2.3247,13,19.9,394.24,0,1
1098,6.85,1.9238,11,6.0,36.33,0,0
1099,24.38,3.1936,16,20.9,436.08,1,1
1100,15.72,2.7552,15,13.8,189.59,0,1
1101,38.29,3.6452,13,33.9,1152.27,0,1
1102,16.34,2.7934,17,8.7,75.58,1,0
1103,11.02,2.3999,15,13.8,191.42,1,0
1104,26.72,3.2853,16,16.5,271.04,0,1
1105,14.29,2.6598,13,14.7,215.33,1,0
1106,20.59,3.025,15,8.9,78.8,0,0
1107,13.9,2.6321,10,2.0,3.84,0,1
1108,6.37,1.8511,12,1.2,1.55,1,1
1109,9.06,2.2035,9,4.3,18.62,0,1
1110,11.5,2.4423,13,8.4,69.76,1,1
1111,19.21,2.9555,15,18.6,347.22,0,1
1112,7.53,2.0192,12,13.2,173.31,1,0
1113,27.33,3.3081,16,18.3,333.53,0,1
1114,16.42,2.7984,16,10.2,103.38,1,1
1115,34.84,3.5508,18,16.2,262.31,0,1
1116,15.18,2.7201,12,5.0,24.96,1,1
